8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
3r2k1/1p3pp1/p1pqn2p/4R3/1P1P3P/P4N2/3Q1PP1/6K1 b - -,d6c7 d2e3 d8d6 g2g3 c7d7 e5e4 d7d8 g1g2 d6d7 g2g1,-22
r3kb1r/ppp1pp1p/5p2/5q2/3Q4/8/PPP2PPP/R1B2RK1 b kq -,h8g8 d4a4 f5d7 a4d7 e8d7 f1d1 d7e8 c1e3 e7e6 d1d3,-95
6k1/7p/6p1/1R4P1/2rpK3/1p6/7P/8 b - -,d4d3 e4d3 c4h4 d3c3 h4h2 c3b3 h2d2 b5b8 g8f7 b3c4,-203
4k3/8/3P4/4KRpp/8/6P1/r7/8 b - -,,0
1r3rk1/4p2p/p1npb1p1/q7/1p1BP3/P3Q3/1PP2PP1/1K1R1B1R b - -,c6d4 d1d4 b4a3 b2b3 f8f2 f1c4 e6c4 d4c4 a5e5 e3c3,-324
3kr3/ppp2pQ1/3b4/3n4/7q/1P5P/P1PpBn2/RK4R1 b - -,f8f7 b2b3 b4a3 d4c3 a5c5 d1d2 c5e3 f2e3 a6a5 b1a2,Mate
1k6/8/P4Kp1/5p1p/5P1P/6P1/8/8 b - -,f8f7 b2b3 b4a3 d4c3 a5c5 d1d2 c5e3 f2e3 a6a5 b1a2,Mate
r1bq1rk1/ppp1npbp/6p1/1B2P3/8/1P2P3/PBP3PP/RN1QK2R b KQ -,e7d5 d1f3 c7c6 b5e2 d8h4 g2g3 h4e7 b1c3 d5c3 b2c3,-111
rr2n1k1/3Q1qpp/p1n5/P3p3/2N1P3/2P2N2/5PPP/R2R2K1 b - -,f7c4 d7d5 c4d5 e4d5 e5e4 f3d2 c6e5 d2e4 b8d8 d5d6,-119
r1b1qrk1/ppp2pb1/n2p1npp/3Pp3/2P1P3/2N1B3/PP1NBPPP/R2QK2R b KQ -,f6h7 f2f3 f7f5 a2a3 c7c6 d5c6 b7c6 b2b4 a6c7 e1h1,112
r2qk2r/pb1nbppp/1p1p4/1BpN4/4n3/2P5/PP3PPP/RNBQR1K1 b kq -,a7a6 e1e4 b7d5 b5d7 d8d7 d1d5 e8h8 b1d2 e7f6 d2f3,439
8/p1pk1p2/4b1q1/3p4/3P4/P2QP3/1PKN1R2/7r b - -,h1c1 c2c1 g6d3 f2f3 d7e7 a3a4 e6g4 f3f2 d3e3 f2f1,-718
8/p1K5/P7/2k5/8/8/8/8 b - -,,0
6k1/7p/6p1/1R4P1/2r5/1p1K4/7P/8 b - -,c4h4 d3c3 h4h2 c3b3 h2d2 b5b8 g8f7 b3c4 d2d7 b8b2,-291
8/8/8/1p3k1p/1N3P2/6K1/8/8 b - -,f5f6 b4d5 f6g6 g3f3 g6g7 f3e4 g7g6 d5e3 g6f6 e3c2,1130
3r2k1/p4pp1/7p/4rq2/2Bp1P1R/1P3Q1P/P6K/3R4 b - -,e5e7 h4g4 g8h8 d1d2 f5f6 d2e2 e7e2 f3e2 d4d3 c4d3,321
4k3/8/3P4/4KRp1/7P/8/r7/8 b - -,,0
6k1/4Q1p1/4p2p/P2b4/3Pp1P1/4B3/5K1P/8 b - -,g5h4 f5f3 a2e2 e5d5 e2d2 d5e6 d2d1 e6e5 d1h1 e5f4,Mate
8/5kp1/5p1p/8/pb1BPP2/7P/5KP1/8 b - -,a4a3 f2e3 f6f5 e4e5 b4e1 d4a1 f7e6 e3e2 e1h4 e2f3,-354
5rk1/5ppp/2Q3q1/6r1/8/P3P2b/5PP1/R1R2BK1 b - -,h3e6 a3a4 g6h5 c6c7 g5g4 c1c5 e6d5 f2f3 g4g6 c7f4,117
r3k2r/p3bppp/2p1b3/3n4/2B5/8/PP1B1PPP/2RN1RK1 b kq -,e7f6 c4b3 a8c8 g2g3 e8h8 f1e1 c6c5 d1e3 d5b4 b3e6,14
r1b1k1nr/1pp2ppp/p1n1p3/3qN3/1bpPP3/2N2PP1/PP5P/R1BQKB1R b KQkq -,d5d4 e5c6 d4d1 e1d1 b7c6 f1c4 b4d6 c1f4 a6a5 c3a4,-21
8/5pkp/4p3/Np6/1P2K1P1/P1P5/5b2/8 b - -,f2a7 c3c4 b5c4 a5c4 f7f5 g4f5 g7f6 c4e3 e6f5 e3f5,27
8/p1pk1p2/4b1q1/3p4/3P4/PK2P3/1P1NQR2/7r b - -,,0
r3k2r/pbpnqp2/1p1p1n1p/4p1p1/2PPP3/P1QB1PB1/1P2N1PP/R3K2R b KQkq -,a7a5 d4d5 f6h5 g3f2 h5f4 e2f4 g5f4 e1a1 e7g5 d1g1,76
r2n2k1/pp2R1pp/3n4/3P4/5q2/P7/1P3PPP/3Q1RK1 b - -,f4g5 f1e1 d8f7 d1d4 a8f8 e7e6 a7a6 h2h3 h7h5 a3a4,53
r3k2r/3bbpp1/p1nppn1p/8/1q1NP1PP/1BN1B3/1PP1QP2/2KR2R1 b kq -,a8c8 c1b1 c6d4 d1d4 b4b7 f2f3 d7b5 c3b5 a6b5 g4g5,122
rnbqk2r/ppp1ppbp/3p1np1/1B6/3P4/4PN2/PPPB1PPP/RN1QK2R b KQkq -,b8d7 a2a4 e8h8 e1h1 e7e5 a4a5 c7c6 b5e2 f6e4 d2e1,-20
k7/8/P5K1/5p1p/5P1P/6P1/8/8 b - -,b8d7 a2a4 e8h8 e1h1 e7e5 a4a5 c7c6 b5e2 f6e4 d2e1,Mate
3r2k1/1p3pp1/p1p4p/4R3/1P1N3P/P7/5PP1/6K1 b - -,,0
3k4/ppp2pQ1/3b4/3n4/7q/PP5P/2Pprn2/RK4R1 b - -,d8d4 e5e8 g8h7 e8e7 b7b5 e7f7 d4h4 f7a7 h4c4 a7a6,Mate
4rk2/7R/4PK2/8/8/8/8/8 b - -,d8d4 e5e8 g8h7 e8e7 b7b5 e7f7 d4h4 f7a7 h4c4 a7a6,Mate
rnq2rk1/pp1bppbp/2p2np1/5P2/2PpP2N/3P2P1/PPQN2BP/R1B2RK1 b - -,e7e5 d2f3 c8e8 h2h3 b8a6 g3g4 h7h6 g4g5 h6g5 f3g5,97
rnbqk2r/5ppp/p1p1pb2/1p1n4/8/1PN2NP1/PB1PPPBP/R1Q2RK1 b kq -,e8h8 c3e4 f6e7 a2a3 c8b7 f3e5 f7f6 e5d3 b8d7 e4c5,119
1r3rk1/4p2p/p1npb1pQ/q7/3BP3/p7/1PP2PP1/1K1R1B1R b - -,f8f7 h6d2 c6d4 b2b3 a3a2 b1a1 d4c2 d2c2 a5e5 c2b2,-588
5rk1/2Q2ppp/6q1/4r3/8/P3P2b/5PP1/R1R2BK1 b - -,e5d5 a3a4 d5g5 c7h2 g5h5 a4a5 h3c8 c1c6 g6c6 h2h5,204
8/3k4/4p3/2P2pp1/1K6/5nPP/P7/5B2 b - -,e6e5 a2a4 d7c7 a4a5 f5f4 g3f4 e5f4 a5a6 f3e5 b4c3,258
6k1/5pp1/Qp5p/3q4/8/4P3/6PP/6K1 b - -,b6b5 a6c8 g8h7 c8c2 g7g6 c2b2 d5c4 g1f2 b5b4 f2e1,-529
6k1/7p/6p1/1R4P1/7r/1pK5/7P/8 b - -,h4h2 c3b3 h2d2 b3c4 d2d7 b5b1 g8g7 b1h1 d7d2 h1a1,-248
6r1/1R6/3p3P/6Pr/1k6/1p3RK1/8/8 b - -,,0
r3k2r/pb1nqp2/1p1p1n1p/2pPp1p1/2P1P3/P1QB1PB1/1P2N1PP/R3K2R b KQkq -,f6h5 e1a1 e8a8 g3f2 h5f4 g2g3 f4h3 f2e1 h6h5 h1f1,91
1k1r4/1bpr1qp1/1p3pNp/1pn1p2P/2p1P1P1/3P2R1/PPP1QP2/1KN2R2 b - -,b5b4 f2f4 c4d3 c2d3 d7d3 c1d3 b7e4 f4e5 d8d3 e2e4,-330
r1b1k1nr/1pp2ppp/p1N1p3/8/1bpqP3/2N2PP1/PP5P/R1BQKB1R b KQkq -,d4d1 e1d1 b7c6 f1c4 h7h5 c1e3 b4d6 d1e2 h5h4 c3a4,-14
6k1/7p/6p1/1R4P1/8/1K6/7r/8 b - -,h2d2 b5b8 g8f7 b3c4 d2d7 b8b3 f7g7 b3h3 d7d1 h3b3,-282
8/1p2Rppk/p1p4p/8/1P1r3P/P7/5PP1/6K1 b - -,,0
8/5pkp/2N1p3/1p6/4K1P1/P1P5/1P3b2/8 b - -,g7h6 e4f3 f2b6 c6d4 b5b4 a3b4 h6g5 d4c6 f7f5 g4f5,238
rnq2rk1/pp1bppbp/2p2n2/5N2/2PpP3/3P2P1/PPQN2BP/R1B2RK1 b - -,c8c7 f5e7 g8h8 c4c5 f6g4 d2c4 d7e6 e7f5 g4e5 f5d4,256
r1b1k2r/1p1n1p2/2pqp1p1/p5Pp/3P3P/2QB1N2/PPP2P2/2KR3R b kq -,d6f4 f3d2 e8h8 d1e1 a8a7 e1e3 b7b6 e3f3 f4d6 d2e4,50
1k1r4/1bpr1qp1/1p3pNp/1pn1p2P/4P1P1/3P2R1/PP2QP2/1KN2R2 b - -,b5b4 f2f4 d7d3 c1d3 b7e4 f4e5 d8d3 e2e4 d3g3 e4d4,-382
r6r/2p2k2/Pp1q4/2pPp1p1/5pPp/1Q3P2/R4B1P/4R1K1 b - -,h8f8 b3d3 f7g7 a6a7 h4h3 a2a6 f8e8 d3e4 g7h8 e1d1,376
7r/7P/3p2P1/4p1K1/8/8/k7/8 b - -,d6d5 g5h6 e5e4 g6g7 h8c8 g7g8q c8c2 g8d5 a2a3 d5e4,934
1k6/8/P7/5K1p/5P1P/6P1/8/8 b - -,d6d5 g5h6 e5e4 g6g7 h8c8 g7g8q c8c2 g8d5 a2a3 d5e4,Mate
rnbqk2r/pp2bpp1/4pn1p/2Pp4/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,e8h8 c1e3 b8c6 e4d5 f6d5 c3d5 d8d5 d3e2 d5f5 f3d4,92
r1b2rk1/2p1qppp/p1p2n2/P3p3/2Q1P3/N1P2N2/5PPP/R2R2K1 b - -,c8g4 c4e2 f6h5 h2h3 h5f4 e2e3 g4h5 a3c2 f7f5 e4f5,-143
r3k2r/1b1nqp2/1p1p1n1p/p1pPp1p1/2P1P3/P1QB1PB1/1P2N1PP/R4RK1 b kq -,b7c8 g3f2 f6h5 b2b4 e8h8 b4a5 a8a5 g2g3 d7f6 f1b1,87
r1b1k1nr/1pp2ppp/p1N1p3/8/1bp1P3/2N2PP1/PP5P/R1BK1B1R b kq -,b7c6 f1c4 b4d6 c1e3 g8f6 a1c1 f6d7 c3a4 h7h5 d1e1,-9
8/5Rpk/p1p4p/1p6/1P1r3P/P7/5PP1/6K1 b - -,,0
r3kb1r/pb4pp/2p5/2pn1p2/8/P4P2/1P2BP1P/R1B2RK1 b kq -,f8e7 e2d3 h8f8 c1d2 e8a8 a1d1 c8b8 f1e1 b8a8 a3a4,-514
8/p1p1kp2/4b1q1/3p4/3P4/PK2P3/1P1NQ1R1/7r b - -,,0
r2qk2r/p1pbb1pp/3p1n2/1Pp2p2/Q1P1p3/2NP2P1/P3PPBP/R1B1K2R b KQkq -,a7a6 a4b3 d6d5 d3e4 a6b5 c3d5 f6d5 e4d5 b5c4 b3c4,59
3rqrk1/1p4p1/pN1p2np/P1pPppB1/4P3/R5P1/1PP1QP1P/5RK1 b - -,h6g5 f2f3 g6e7 b6c4 e8h5 a3b3 d8d7 e4f5 e7f5 c2c3,89
rnq2rk1/pp2ppbp/2p2n2/5R2/2PpP3/3P2P1/PPQN2BP/R1B3K1 b - -,b8d7 d2f3 f6g4 g2h3 g4e3 c1e3 d4e3 f5h5 c8e8 d3d4,178
r3k2r/3bbpp1/p2ppn1p/n5P1/1q1NP2P/1BN1B3/1PP1QP2/2KR2R1 b kq -,f6g8 g5h6 g8h6 g1g7 e7f6 g7g3 f6h4 g3h3 h4f6 c1b1,165
4k3/8/3PK3/5R2/7p/8/r7/8 b - -,,0
r5k1/pp2Rnpp/3n4/3P4/5q2/P7/1P3PPP/2Q2RK1 b - -,f4a4 c1d2 f7h6 f1c1 h6f5 e7e6 h7h5 c1c7 a8f8 h2h3,53
8/p4k1p/1p3pp1/2pPr3/4pQn1/1P4Pq/P3R3/4R1K1 b - -,g6g5 f4f1 h3g3 e2g2 g3h3 f1e2 f6f5 e2a6 h3c3 e1f1,-423
8/R5pk/p1p4p/1p6/1P5r/P7/5PP1/6K1 b - -,,0
2Q4b/4k2P/2p2q2/2Pp2p1/3P1pP1/5K2/8/6B1 b - -,,0
6k1/7p/6p1/1R4P1/2K5/8/3r4/8 b - -,d2d7 b5b2 g8g7 b2h2 d7d1 h2b2 h7h5 b2a2 g7f7 a2f2,-275
r1b2rk1/2p1qppp/p1p2n2/P3p3/2N1P3/1QP2N2/5PPP/R2R2K1 b - -,c8e6 f3d2 a8b8 b3c2 f6d7 c4e3 d7c5 a1b1 h7h5 c3c4,-109
r1b1k2r/1p1n1p2/2p1p1p1/p5Pp/3P1q1P/2QB4/PPPN1P2/2KR3R b kq -,e8h8 d1e1 a8a7 e1e3 b7b5 c3c6 f4f2 h1e1 f2h4 d4d5,52
r6k/pQ4p1/4q1b1/3pP3/4p2p/2P2rBP/PP4K1/R4R2 b - -,e8h8 d1e1 a8a7 e1e3 b7b5 c3c6 f4f2 h1e1 f2h4 d4d5,Mate
r2qk2r/pp3ppp/5n2/4pb2/QnP5/3P1N2/PP3PPP/RN2KB1R b KQkq -,b4c6 a4a3 d8b6 f1e2 c6b4 e1h1 e8h8 f3e1 a8d8 b1c3,16
rnbqk2r/pp3pp1/4pn1p/2bp4/4P3/2NBBN2/PPP2PPP/R2Q1RK1 b kq -,c5e3 f2e3 e8h8 e4d5 e6d5 f3d4 b8c6 d1e1 f8e8 e1g3,-4
1k1r4/1bp2qp1/1p3pNp/1pn1p2P/3rPPP1/3P2R1/PP2Q3/1KN2R2 b - -,d4d3 c1d3 d8d3 g3d3 b7e4 e2e4 c5e4 d3d8 b8b7 f4e5,-293
4rrk1/p1p2ppp/5q1n/1Pb1n3/2PpQ3/3P1P2/P4PBP/RNB2RK1 b - -,e5g6 e4c6 c5d6 c4c5 d6h2 g1h2 e8e6 c6d5 g6f4 c1f4,-203
8/r2k1p2/4p1p1/6Pp/5P1P/1R3K2/8/8 b - -,d7d8 b3b8 d8e7 b8b3 e7d7 b3b8 a7c7 b8b3 d7c8 b3a3,-11
1Q6/8/2N1Pk2/3K2p1/1b4P1/p7/8/8 b - -,d7d8 b3b8 d8e7 b8b3 e7d7 b3b8 a7c7 b8b3 d7c8 b3a3,Mate
8/6pk/2p4p/Rp6/1P5r/P7/5PP1/6K1 b - -,,0
4k3/8/3P4/3K1R2/7p/8/4r3/8 b - -,,0
2r3k1/p4pp1/7p/4rq2/2BR1P1b/1P3Q1P/P6K/6R1 b - -,,0
r2q1rk1/p3p1bp/2p2pp1/3pPn2/3P4/1PNQ3P/P4PP1/R1B1R1K1 b - -,f6e5 d4e5 a8c8 c1a3 d8c7 a1c1 c8d8 c3a4 g7e5 a4c5,24
r3k2r/1b1nqp2/1p1p3p/p1pPp1pn/1PP1P3/P1QB1PB1/4N1PP/R4RK1 b kq -,e8h8 b4a5 a8a5 g3e1 a5a7 e1d2 f8a8 g2g3 f7f5 e4f5,68
8/6k1/2N1P3/3K2p1/1Q4P1/p7/8/8 b - -,e8h8 b4a5 a8a5 g3e1 a5a7 e1d2 f8a8 g2g3 f7f5 e4f5,Mate
1k1r4/1bp2qp1/1p3p1p/1pn4P/3rPNP1/3P2R1/PP2Q3/1KN2R2 b - -,f7d7 g3e3 b5b4 e2f3 d7a4 f1g1 b7a6 g1e1 a4d7 e1d1,-185
r2qk2r/pp3ppp/2n2n2/4pb2/2P5/Q2P1N2/PP3PPP/RN2KB1R b KQkq -,a7a6 b1c3 d8d7 f1e2 e8a8 a1d1 h8e8 e1h1 d7e7 a3e7,79
8/6pk/2p4p/Rp6/1Pr5/P7/5PPK/8 b - -,,0
rnbq3r/pppp1k1p/5n2/6Q1/4P3/8/PPPP1KPP/RNB3NR b - -,f6e4 f2e1 d8g5 g1f3 g5g2 h1f1 h8e8 f3e5 f7g7 d2d4,-1048
r1bqkbnr/pp4pp/2n1pp2/1B1pP3/8/4QN2/PPP2PPP/RNB1K2R b KQkq -,a7a6 b5c6 b7c6 b2b3 f6e5 e3e5 g8f6 c1f4 f8c5 e1h1,-14
r2r4/2p2k2/Pp1q4/2pPp1p1/5pPp/1Q3P2/R4B1P/3R2K1 b - -,d8e8 a6a7 h4h3 b3d3 f7g7 a2a6 e8e7 d3f5 c5c4 f5g5,382
r2qk2r/2pbb1pp/3p1n2/1Pp2p2/4p3/1QNP2P1/P3PPBP/R1B1K2R b KQkq -,d6d5 c3d5 f6d5 b3d5 d7b5 d5f5 e4d3 f5h5 g7g6 h5e5,91
8/8/5pk1/4p2p/4K2P/5PP1/8/8 b - -,g6g7 e4f5 g7f7 g3g4 h5g4 f3g4 f7g8 g4g5 e5e4 f5e4,Mate
6k1/7p/6p1/2R5/2p5/6PK/r6P/8 b - -,a2c2 c5c7 h7h6 h3g4 g8f8 g4f3 c4c3 f3e3 f8e8 e3d3,-3
3R1rk1/p1q2p1p/4bQp1/2r5/4P3/5PP1/P6P/3R1BK1 b - -,c5c1 d8f8 g8f8 d1d8 c7d8 f6d8 f8g7 d8d2 c1b1 g1f2,534
r2q1rk1/1p2bpp1/3p2b1/p2Pn2p/2PN4/4B3/PP1QB1PP/R4RK1 b - -,e5d7 d4b5 h5h4 e2d3 d7e5 d3g6 e5c4 d2c3 c4e3 g6f7,54
rn1qk2r/ppp2ppp/3bpn2/3p1bN1/8/3P2P1/PPPNPPBP/R1BQK2R b KQkq -,h7h6 g5f3 b8c6 e1h1 e8h8 c2c3 a7a5 a2a4 f5h7 f1e1,-44
r1bqrk2/ppp3pp/2np4/5p1n/2B1P1P1/2N1QP2/PPP4P/2KR2NR b - -,f5f4 e3d2 c6e5 c4b3 h5f6 d2f4 a7a5 a2a4 b7b5 g4g5,267
4k3/8/3P4/4KR2/7p/8/3r4/8 b - -,,0
7k/pb2q2P/1p6/2rPpR2/1Q2p3/1P2R3/PBr3PP/6K1 b - -,c2b2 b4e4 c5d5 e4g4 b2b1 f5f1 b1f1 g1f1 d5d8 g4h5,-367
rnbqk2r/pp5p/3p1np1/2pPp3/2P1Pp2/2PB1P2/P1Q1N1PP/R1B1K2R b KQkq -,f6h5 c1d2 e8h8 e1a1 a7a6 g2g4 h5f6 c1b1 b7b5 c4b5,-31
1r3rk1/1p2pp1p/p1npb1p1/q7/3BP2P/P4Q2/1PP2PP1/1K1R1B1R b - -,b7b5 h4h5 b5b4 a3b4 a5a2 b1c1 c6d4 d1d4 a2a1 c1d2,-113
rnbqkb1r/1p3ppp/p3pn2/6B1/P1BP4/2N5/1P3PPP/R2QK1NR b KQkq -,f8b4 g1f3 b8c6 e1h1 e8h8 f1e1 h7h6 g5h4 b4e7 a1c1,21
8/p1p1kp2/4b3/1Q1p4/3P4/PK2P2q/1P1NR3/7r b - -,e6g4 b3a2 g4e2 b5e2 h1h2 e2b5 e7f8 b5b3 h2e2 d2b1,-306
rnbq3r/pppp1k1p/5n2/6p1/4P3/5Q2/PPPP1KPP/RNB3NR b - -,,0
5b2/P7/5k2/8/4K3/8/8/8 b - -,b8c6 b1c3 h8f8 f2e1 d7d5 c3d5 f7g6 d5f6 f8f6 f3e2,Mate
r4rk1/2p1qppp/p1p2n2/P3p3/2Q1P1b1/N1PR1N2/5PPP/R5K1 b - -,f6d7 d3e3 d7c5 f3h4 f8b8 h4f5 g4f5 e4f5 c5b3 a1a2,-145
r2qkb1r/pp4p1/2ppp3/7p/3pP3/1QPP1P2/PP4PP/R1B2RK1 b kq -,d8e7 c3d4 d6d5 c1e3 g7g6 b3c2 f8g7 g1h1 e8h8 f1f2,131
r4rk1/p3p1bp/1qp2pp1/3pPn2/3P4/1PNQB2P/P4PP1/R3R1K1 b - -,f5e3 e1e3 f6e5 d4e5 a8c8 c3a4 b6b4 g2g3 e7e6 e3e2,-27
4k3/8/3P4/4K2R/8/7p/3r4/8 b - -,,0
6R1/8/8/7p/6pK/3kr1P1/8/8 b - -,,0
rnb2rk1/pp3ppp/1qp5/3n4/8/1NPQ2P1/P3PPBP/R1B2RK1 b - -,d5f6 c1e3 b6c7 e3f4 c7d7 c3c4 f8e8 f1e1 a7a5 f4d6,121
2r3k1/p4pp1/7p/4r3/2BR1P1b/1P3Q1P/P1q3RK/8 b - -,e5e2 f3e2 c2e2 g2e2 c8c7 d4d1 a7a5 a2a4 g8h7 h2h1,548
6k1/2R4p/6p1/8/2p5/6PK/2r4P/8 b - -,c4c3 h3g4 h7h6 g4f4 c2f2 f4e3 f2h2 c7c3 g8g7 c3c7,-4
rn1q1rk1/ppp2ppp/3bpn2/3p1bN1/4P3/3P2P1/PPPN1PBP/R1BQK2R b KQ -,f5g4 g5f3 g4h5 h2h3 b8c6 c2c3 f6d7 d3d4 f7f5 e4e5,-21
1k1r4/1bp2qp1/1p3p1p/2n4P/1p1rPNP1/3PR3/PP2Q3/1KN2R2 b - -,f7d7 e2f3 d7a4 f1f2 d8d6 f2c2 a4d7 f3e2 b7a6 c2d2,-187
r1bq3r/pppp1k1p/2n2n2/6p1/4P3/3P1Q2/PPP2KPP/RNB3NR b - -,,0
8/1b3p2/8/6k1/8/5P1P/6r1/3K4 b - -,c6d4 f3g3 d4c2 e4e5 f6h5 g3g4 f7g6 g1f3 d7d5 e5e6,Mate
8/3kn2p/2p1p1p1/4Pp2/p1BP1P1P/3K2P1/P7/8 b - -,e7c8 d3c3 c8b6 c3b4 d7e7 b4c5 b6c4 c5c4 e7d7 c4b4,505
4k3/8/3P4/7R/3K4/7p/4r3/8 b - -,,0
8/6pk/2p5/Rp5p/1Pr5/P4P2/6PK/8 b - -,,0
rnbqk2r/pp3pp1/4pn1p/8/3NP3/2NB4/PPP2PPP/R2Q1RK1 b kq -,b8d7 d4f3 e6e5 f1e1 e8h8 d3f1 d8e7 h2h3 f8d8 c3d5,190
3r3k/p7/1p5R/5pP1/2Q1nP2/4K3/P2r3P/8 b - -,b8d7 d4f3 e6e5 f1e1 e8h8 d3f1 d8e7 h2h3 f8d8 c3d5,Mate
k7/8/P5K1/7p/5P1P/6P1/8/8 b - -,b8d7 d4f3 e6e5 f1e1 e8h8 d3f1 d8e7 h2h3 f8d8 c3d5,Mate
r1b1qrk1/ppp3b1/n2p1n2/2PPp1pp/1P2Pp2/P1N2P2/3NBBPP/R2Q1RK1 b - -,g5g4 d2c4 d6c5 b4c5 e8g6 c4e5 g6g5 f2d4 f6e8 e2a6,152
4r1k1/5p2/p2q1np1/2pP4/2P3Pp/P1RNP2P/8/3Q1RK1 b - -,e8e3 f1f3 e3e7 d3f2 f6e4 f2e4 e7e4 f3e3 e4d4 d1e1,409
rnb2rk1/pp3ppp/1qp5/3n4/1b6/1NNQ2P1/PP2PPBP/R1B2RK1 b - -,b4c3 b2c3 b6a6 d3c2 a6c4 c1b2 b8a6 f1d1 f8e8 e2e4,103
r1b1k2r/1pp1qppp/p1n2n2/P1bBp1B1/4P3/1QP2N2/5PPP/RN1R2K1 b kq -,e8h8 b1d2 c6a7 g5f6 g7f6 d5c4 c7c6 b3c2 a7b5 f3h4,-49
r1bq3r/pppp1k1p/5n2/6p1/3nP3/3P2Q1/PPP2KPP/RNB3NR b - -,,0
rn1qk2r/ppp1p1bp/3p1np1/6B1/4PQb1/3P3N/PPP2PPP/RN2K2R b KQ -,g4h3 g2h3 f6h5 f4c1 b8c6 b1c3 d8d7 g5h6 e7e5 c3d5,-505
r5k1/pp3npp/3nRq2/3P4/8/P7/1P3PPP/2Q2RK1 b - -,f7e5 e6f6 g7f6 c1c7 h7h5 c7d6 g8f7 f1e1 a8e8 d6e6,550
8/6p1/R1p3k1/1p5p/1Pr5/P4P2/6PK/8 b - -,,0
r2r4/2p2k2/Pp1q4/2pPp1p1/5pPp/3Q1P2/R4B1P/4R1K1 b - -,d8h8 a2e2 h8e8 d3h7 f7f8 h7f5 f8g7 f5g5 d6g6 e2e5,482
r1bq1rk1/bp3ppp/p1p2nn1/4p3/P3P3/1BP2NNP/1P3PP1/R1BQR1K1 b - -,a7c5 a4a5 h7h6 b3c4 c5a7 d1c2 d8c7 g3f1 f8d8 c1e3,45
rnb2rk1/pp3ppp/1qp5/8/1b6/1NPQ2P1/P3PPBP/R1B2RK1 b - -,b4c5 b3c5 b6c5 a2a4 c5a5 d3e3 c8e6 c1a3 f8d8 f1b1,60
r1b2rk1/1p1n1p2/2p1p1p1/p5Pp/3P1q1P/2QB1P2/PPPN4/2KR3R b - -,d7b6 c1b1 b6d5 c3c5 f8d8 d2e4 b7b6 c5c6 a8b8 d1e1,-13
4R3/3k1P2/5K2/8/8/8/6r1/8 b - -,g2f2 f6g7 f2g2 g7f8 d7d6 e8e7 g2a2 e7e4 a2a5 f8g7,9605
rnbq1rk1/5ppp/p1p1pb2/1p1n4/4N3/1P3NP1/PB1PPPBP/R1Q2RK1 b - -,f6e7 f1d1 a6a5 a2a3 c8b7 d2d4 d8c7 f3e5 b8a6 c1d2,118
8/5p2/8/6k1/8/5b1P/6r1/2K5 b - -,f6e7 f1d1 a6a5 a2a3 c8b7 d2d4 d8c7 f3e5 b8a6 c1d2,Mate
8/6p1/R1p5/1p3k1p/1Pr5/P4PK1/6P1/8 b - -,,0
6k1/4Q1p1/2b1p2p/P7/3PpBP1/8/5K1P/8 b - -,h5h4 g3h3 g7g5 a6a8 c4c1 a8f8 f5e6 f8e8 e6f7 e8c8,Mate
4k3/7R/3P4/8/3K4/8/4r2p/8 b - -,,0
r4rk1/pp1bqppp/2ppn3/8/2P2B2/8/PP2QPPP/RN1R2K1 b - -,d6d5 c4d5 c6d5 b1c3 d5d4 d1d4 f8e8 f4d6 e7f6 d4d1,-32
1k1r4/1bpq2p1/1p3p1p/2n4P/1p1rPNP1/3PRQ2/PP6/1KN2R2 b - -,d7a4 f1e1 d8d6 b1a1 a4d7 a1b1 b7a6 e1d1 a6b5 f3e2,-188
r1b1qrk1/ppp3b1/n2p1n2/2PPp2p/1PN1Ppp1/P1N2P2/4BBPP/R2Q1RK1 b - -,d6c5 g1h1 e8g6 f2h4 f6e8 b4b5 a6b8 d5d6 e8d6 c3d5,153
5b1r/ppp2P2/2np3p/4r1p1/7k/6N1/PP3BPP/4RRK1 b - -,c6b4 f2d4 b4d3 d4e5 d6e5 e1e4 d3f4 e4e5 h8h7 e5f5,531
8/6p1/R1p5/1p3k2/1Pr4p/P4P1K/6P1/8 b - -,,0
r4rk1/p3p1bp/1qp3p1/3pP3/8/1PNQR2P/P4PP1/R5K1 b - -,a8c8 c3a4 b6b4 g2g3 e7e6 e3e2 b4a5 d3c3 a5c3 a4c3,-15
r1bqkb1r/3n1ppp/p3p3/1p1nP1B1/3pN3/3B1N2/PP3PPP/R2QK2R b KQkq -,d8b6 a1c1 h7h6 g5d2 c8b7 d3b1 f8e7 d1e2 a6a5 e1h1,-69
rnbqk2r/pp2bppp/4p3/2Pp4/4n3/2P1BNP1/PP2PPBP/RN1QK2R b KQkq -,e8h8 c3c4 d8a5 f3d2 e7c5 e3c5 e4c5 c4d5 e6d5 a2a3,65
rnb2rk1/pp2bNnp/2p1P1p1/3p3q/4N3/2Q5/PP1BBPPP/R4RK1 b - -,d5d4 c3d4 h5h4 f7h6 g8h8 g2g3 c6c5 d4e3 h4h6 e3h6,857
4R3/3k1P2/6K1/8/8/8/5r2/8 b - -,f2f1 g6g7 f1g1 g7f8 g1g6 e8e7 d7d8 e7e1 d8d7 e1d1,20000
