6B1/8/1q6/8/1k6/8/1B6/1K6 b - -,f7h5 g4c4 b5b8 f2f5 h7h6 b4b5 h5e8 c4a4 g5d8 f5e5,Mate
rnb2rk1/ppppq1pp/3b1p2/3P4/2BPp2B/8/PPPN1PPP/R2Q1RK1 b - -,g7g5 h4g3 f6f5 g3e5 e7e8 f2f4 e8g6 d1e2 g5g4 a2a4,155
r1bk1bnr/pppn1ppp/8/4p3/5P2/2N3P1/PPP1P2P/R1B1KBNR b KQ -,c7c6 g1f3 e5f4 c1f4 d8e8 f3d4 d7c5 f1g2 c8d7 e2e3,58
1R6/3k1n2/p2p1p1p/Pp1PpP2/8/7P/2P2PP1/7K b - -,d7c7 b8b6 c7c8 b6a6 c8b8 h1h2 h6h5 h2g3 f7h6 a6b6,597
rn3rk1/pp3pbp/2p2np1/4p3/4P1b1/2N2NPP/PPP2PB1/R1BR2K1 b - -,g4d7 f3e5 f6e4 c3e4 g7e5 c1h6 e5g7 h6e3 d7e6 e4c5,150
8/8/8/4K3/8/5k2/5p1Q/8 b - -,,0
r1b2rk1/p1p3bp/6p1/2P2p2/4pB2/2P2P2/PP4PP/RN2R1K1 b - -,,0
r3r1k1/p3npp1/1ppb2qp/5b2/2PP4/5N1P/PBB2PP1/2RQR1K1 b - -,d6b4 e1e3 f5c2 c1c2 e7f5 e3e8 a8e8 f3e5 g6e6 d4d5,14
r5k1/ppp3pp/3p4/4pr2/2P1qp2/B7/P4P2/R2K4 b - -,d6b4 e1e3 f5c2 c1c2 e7f5 e3e8 a8e8 f3e5 g6e6 d4d5,Mate
r5k1/4bppp/1nRp4/1p1P1BP1/7P/qQ6/P1P2P2/1K1R4 b - -,a3a6 f5d3 a8b8 d3b5 a6a5 b1c1 g7g6 a2a4 e7f8 c2c3,265
6k1/4b1pp/p4p2/3PpPP1/2P1Q2P/4B3/q3B3/1rR2K2 b - -,b1c1 e3c1 a2a1 d5d6 a1c1 f1g2 c1b2 e4d5 g8f8 d6e7,564
r6k/pp3p1p/5q2/2p3Q1/3p3P/P7/1PP2PP1/2KR4 b - -,f6g5 h4g5 a8e8 b2b4 b7b6 g2g3 h8g7 b4c5 b6c5 c1d2,-2
rn1q1rk1/ppp1ppbp/3p1np1/8/3P2b1/1BN1PN2/PPPB1PPP/R2QK2R b KQ -,d6d5 h2h3 g4f3 d1f3 e7e6 a1d1 a7a5 f3e2 c7c6 a2a4,-29
R7/2k2n2/p2p1p1p/Pp1PpP2/8/7P/2P2PP1/7K b - -,f7g5 a8a6 g5e4 a6b6 e4f2 h1g1 f2e4 b6b5 e4c5 b5b4,616
1r4k1/p1q2pbp/4b1p1/2p5/Q1B1NnP1/3p1P2/PPP4P/2KR3R b - -,g7b2 c1b1 e6c4 a4c4 b2d4 c4b3 c5c4 c2c3 c4b3 a2a3,-883
rn3rk1/pp3pbp/2p2np1/4p3/4P3/2N2BPP/PPP2P2/R1BR2K1 b - -,b8d7 g3g4 h7h6 c1e3 f8e8 h3h4 d7f8 g4g5 h6g5 h4g5,47
4rbk1/2q2pP1/pr5p/8/2p3QB/5N2/P4PPP/R5K1 b - -,f8g7 a1c1 c4c3 h2h3 c3c2 f3d2 c7c8 g4a4 b6c6 a4b4,-499
4Rb2/5p1k/1pp2p2/3p1N1p/2qP4/2P3Q1/5PPK/r7 b - -,c4d4 c3d4 a1a3 g3c7 h7g6 e8f8 g6f5 c7f7 f5e4 f7e7,Mate
6r1/2R3P1/5p2/pk2p3/3pP3/1P4P1/5PK1/8 b - -,g8a8 c7b7 b5c5 f2f4 d4d3 g2f3 a8g8 b7d7 d3d2 f3e2,426
1k6/1p1b3n/2qN2rp/B1P4p/n2Pp3/KQ2R3/P7/3R4 b - -,g6d6 c5d6 h7f6 b3b4 b7b6 e3b3 f6d5 b4e1 h5h4 d1c1,136
8/2k5/R2p1p1p/Pp1PpPn1/8/7P/2P2PP1/7K b - -,g5e4 a6b6 e4f2 h1g1 f2d1 b6b5 d1c3 b5b3 c3d5 a5a6,728
1rb2rk1/p1p3bp/6p1/2P2p2/4pB2/2P2P2/PP2R1PP/RN4K1 b - -,c8a6 e2c2 f8f7 b1a3 g7f8 c5c6 a6d3 c2d2 a7a5 h2h4,-63
2r4k/6pp/p7/1p6/1P6/P3qP2/1Q4PP/3R3K b - -,h7h5 h2h3 h8h7 h1h2 e3f4 h2g1 f4e3 g1h1 c8c7 h1h2,30
r2qk2r/5ppp/p1Nb1n2/1p2n3/8/2N2QP1/PP3PKP/2R1R3 b kq -,d8c8 c6e5 e8h8 c3d5 c8c1 e1c1 d6e5 d5e7 g8h8 f3b7,317
r1bqkb1r/pp1npppp/3p1n2/2p5/Q1B1P3/2PP4/PP3PPP/RNB1K1NR b KQkq -,a7a6 g1f3 a8b8 a4d1 b7b5 c4b3 d8c7 a2a4 g7g6 b1a3,-49
rn2k2r/ppp1bppp/3qpn2/8/3P1B2/2N2P2/PPPQBP1P/R3K2R b KQkq -,d6b6 f4e3 e7b4 a2a3 b4c3 b2c3 f6d5 c3c4 d5e3 f2e3,6
r1r3k1/bb2q1pp/4p1n1/2p1Pp2/N1B2P2/1P2B3/P5PP/3RQR1K b - -,g6h4 c4e6 e7e6 e1h4 e6a6 h4f2 b7c6 d1d6 c8d8 f1d1,307
