8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
8/1p2k3/4ppp1/1n5p/1B3P2/Pr2P1K1/6PP/R7 b - -,e7e8 g3f2 f6f5 a1e1 b5a3 b4a3 b3a3 e1b1 a3a7 h2h3,-13
8/8/5kp1/8/P3rrp1/KP4R1/6R1/8 b - -,,0
r1b1r1k1/2qnb1pp/p2pp3/1p4PP/1n2P3/1NNBB3/PPP1Q3/2K3RR b - -,b4d3 e2d3 d7e5 d3d1 c8d7 c1b1 a6a5 b3d4 b5b4 c3e2,-56
1k1r3r/ppp1qp2/2b1p2b/n3P2p/3P2pN/2NB2P1/PPP2Q1P/1K1R1R2 b - -,a7a6 f2f7 e7f7 f1f7 c6e8 f7f6 h6g5 f6e6 e8f7 e6g6,43
r4rk1/pp1nBpp1/2n1q1p1/4p3/8/2P2NNP/PP2QPP1/R3R1K1 b - -,e6e7 b2b4 f8d8 a2a4 a8c8 g3e4 d7f6 e4g5 d8e8 b4b5,58
8/P2B4/1K6/4P3/1k6/8/8/2q5 b - -,,0
r1bq1rk1/pppn2pp/3bpn2/3p4/3P4/3B1N2/PPP2PPP/RNBQR1K1 b - -,f8e8 f3e5 c7c5 c2c3 d8b6 a2a4 e8f8 a4a5 b6c7 f2f4,75
4k3/p1p2pp1/1pp1q2p/8/4PP2/P2B4/1BPQ1P1P/4R1K1 b - -,e6g4 g1f1 g4h3 f1e2 h3h5 e2e3 g7g5 b2e5 f7f6 e5c7,854
rnbqkb1r/pp2pp1p/3p2pn/2p3N1/2B1P3/1P6/P1PP1PPP/RNBQK2R b KQkq -,f8g7 c2c3 e8h8 g5f3 e7e6 c4e2 b8c6 e1h1 g6g5 d2d4,-72
3q1rk1/p2n1pp1/3bpn2/2Pp3P/p7/2PQPP2/Pr1B4/R3KB1R b KQ -,d6g3 e1d1 d7e5 h1g1 e5d3 f1d3 d8b8 d1e2 b2d2 e2d2,-676
rnbqk2r/ppp1npb1/4p1pp/3pP3/3P3P/2N1BN2/PPP2PP1/R2QKB1R b KQkq -,c8d7 b2b4 b7b6 d1d2 c7c5 d4c5 b6c5 e3c5 b8c6 d2f4,83
r2qkbnr/ppp2ppp/2n1p3/3P2B1/3P2b1/5N2/PP2PPPP/RN1QKB1R b KQkq -,d8d5 b1c3 d5a5 d4d5 e6d5 d1d5 f8c5 e2e3 g4e6 d5d2,-16
r3k2r/p1p2ppp/4n3/2P1P3/b2p4/1P3P2/P2N1BPP/R4RK1 b kq -,e8a8 b3a4 d8d5 d2b3 d4d3 f2e3 d5e5 f1e1 h8d8 g1f1,456
6rk/8/7K/7B/R7/8/8/8 b - -,g8d8 h5f7 d8d6 f7g6 d6d8 a4a6 d8b8 g6e4 b8f8 a6d6,75
3r2k1/pp4p1/4Bp1p/b2p4/3P1N2/4PK2/r4PPP/7R b - -,g8h8 h1b1 a5b6 e6f5 a2a3 g2g4 d8d6 h2h4 h8g8 f5e6,-61
8/PK1B4/8/4P3/1k6/8/8/6q1 b - -,g1g2 b7b8 g2g8 b8b7 g8d5 d7c6 d5e5 a7a8q e5g7 c6d7,-2
rnbqk2r/pp2ppbp/3p2pn/2p3N1/2B1P3/1PP5/P2P1PPP/RNBQK2R b KQkq -,e8h8 g5f3 e7e6 c4e2 f7f5 d2d3 b7b6 e1h1 b8c6 a2a4,-83
8/Q7/8/k7/1q6/b4B2/2r2PPP/R5K1 b - -,a5b5 a7d7 b5a5 d7d8 a5a4 d8d1 b4d2 d1c2 d2c2 f3d1,860
rnbqkb1r/ppp1np2/7p/3PN1p1/2BP1p2/8/PPP3PP/RNBQK2R b KQkq -,,0
r4rk1/pp1nqpp1/2n3p1/4p3/3N4/2P3NP/PP2QPP1/R3R1K1 b - -,c6d4 c3d4 e7b4 d4e5 f8e8 a2a3 b4b3 e2e3 b3e3 e1e3,12
r3kbnr/ppp2ppp/2n1p3/3q2B1/3P2b1/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d5a5 d4d5 e6d5 d1d5 f8c5 e2e3 g4e6 d5d2 f7f6 g5h4,-10
1b2rk2/4n1pp/Rp4b1/6B1/4P3/1B5P/4nP2/QR5K b - -,d5a5 d4d5 e6d5 d1d5 f8c5 e2e3 g4e6 d5d2 f7f6 g5h4,Mate
r1bqkb1r/pp1n1ppp/4pn2/6B1/3Q4/4PN2/PP1N1PPP/R3KB1R b KQkq -,a7a6 a1c1 f8e7 f1e2 e8h8 e1h1 h7h6 g5f4 f6d5 f1d1,29
1r1r2k1/1p2qpp1/4b3/3B3p/1p2P2P/5pP1/PP1Q1P2/2RR2K1 b - -,g7g6 c1c4 b8a8 c4b4 e6d5 b4d4 a8a2 d2c3 e7f6 e4d5,71
1n2r3/5pk1/p2q2pp/1pRrp3/1P6/4QN1P/1PP2PP1/R5K1 b - -,e8e7 e3c3 e7e6 c5d5 d6d5 c3c5 d5c5 b4c5 e6e7 b2b4,24
r3kb1r/pp2qppp/2n2n2/1BppN3/8/7b/PPPP1PPP/RNB2RK1 b kq -,e7e5 d2d4 c5d4 g2h3 f8d6 f2f4 e5h5 b1d2 e8h8 d2b3,-847
8/K7/P5k1/8/8/7P/8/1r3R2 b - -,b1b3 f1g1 g6h6 g1g8 h6h7 g8g5 b3h3 a7b6 h7h6 g5b5,463
rk1rb3/1pq2pb1/3pn2p/p5p1/1p1N2P1/2P1B3/P1Q1PP1P/1R1R2KB b - -,e6d4 e3d4 g7d4 d1d4 d8c8 c3c4 a8a6 c2d3 a6b6 h2h3,-93
8/8/6p1/P4k2/1P2r1p1/KR3rR1/8/8 b - -,f3g3 b3g3 e4e1 b4b5 e1a1 a3b4 f5f4 g3b3 g4g3 b5b6,34
4rrk1/ppp3pp/2n3q1/4pb2/2P1N3/3P2QP/P1P2P2/R1B1R1K1 b - -,c6d4 g3g6 f5g6 e1f1 d4c2 a1b1 b7b6 c4c5 c2d4 c1e3,-354
r3r1k1/pp4pp/6p1/b2pN3/5B2/P7/1P2N2P/R4R1K b - -,a5c7 e5f3 e8e2 f4c7 e2b2 c7g3 a8c8 a1e1 b2b3 f3d4,501
r1bqrnk1/3p1ppp/p2R1b2/1pp2P2/2P1N1Q1/5NB1/PPP3PP/1K5R b - -,e8e4 g4e4 a8a7 h1e1 c8b7 e4g4 b7f3 g4f3 f6e7 d6d5,455
3r1k2/pp4p1/5p1p/b2B4/3P1N2/4PK2/r4PPP/7R b - -,d8d5 f4d5 b7b5 h1c1 f8f7 g2g4 f7e6 f3e4 e6d6 c1c8,20
6k1/1q3p1p/6p1/R7/1nQ5/1P2PPP1/3rN1KP/8 b - -,b4d3 g2g1 b7f3 c4c8 g8g7 c8c3 f7f6 a5a7 g7h6 c3d2,-92
2r3r1/1Q2bpk1/p3p1pp/4P3/8/q4N1P/P1P2PP1/RR4K1 b - -,c8c2 f3e1 c2c3 b1b3 c3b3 b7b3 a3c5 e1f3 g8c8 a1d1,-78
r3k2r/2qp1ppp/p2Pp3/2pb4/8/8/PPP2PPP/R1BQ1RK1 b - -,c7b7 d1h5 e8f8 f2f3 c5c4 b2b3 b7b6 g1h1 a8c8 c1a3,-67
r2q1rk1/1pp2pbp/2npbnp1/p7/4PP1P/P1N1BN2/1PPQ2P1/2KR1B1R b - -,e6g4 d1e1 f6h5 h1g1 h5f6 f4f5 f8e8 e3g5 g6f5 c3d5,85
3q1rk1/p4pp1/3bpn2/2np3P/p7/2P1PP2/Pr1BQ3/R3KB1R b KQ -,c5e4 f3e4 f6e4 a1c1 d8f6 h1h3 b2d2 e2f3 f6f3 h3f3,-712
r2qkbnr/1p3ppp/p1p1p3/2p5/4PP2/2NP1P2/PPP4P/R1BQK2R b KQkq -,d8h4 e1e2 g8e7 d1g1 e7g6 g1g5 f8d6 g5h4 g6h4 c1e3,1
r1br1nk1/ppp2ppp/7q/2p2N2/2P1Pp2/3P3P/PBPQ2P1/R4RK1 b - -,c8f5 e4f5 d8e8 f1f4 h6b6 b2g7 g8g7 f4g4 f8g6 a1f1,55
rnbqk1nr/pp3ppp/2p1p3/3p4/3P1P2/3BP3/PPP2P1P/RN1QK1NR b KQkq -,d8b6 d1c1 b8d7 g1f3 g8e7 h1g1 e8h8 c2c3 c6c5 b1d2,-1
r2qkbnr/pp2pppp/2N3b1/1B6/3p2P1/2N4P/PPPP1P2/R1BQK2R b KQkq -,g8f6 c6d8 e8d8 g4g5 a7a6 b5a4 b7b5 g5f6 b5a4 d1f3,714
4r1k1/4qpp1/2R3b1/p2pB2p/P2P3P/7Q/1P3PP1/6K1 b - -,g8h8 g1h2 f7f6 h3g3 e7d7 c6c7 d7f5 e5d6 e8e2 b2b4,77
r2q1rk1/1p2bppp/pnnpb3/3N2P1/4PB1P/1N6/PPP1B3/R2QK2R b KQ -,,0
rnb2rk1/pp3p1p/4pqp1/8/3NQ3/3B4/PPP2PPP/R3K2R b KQ -,f8d8 c2c3 e6e5 d4b3 c8f5 e4b7 f5d3 b7a8 b8c6 a8b7,-50
rk1rb3/1pq2pb1/3p3p/p5p1/1p1B2P1/2P5/P1Q1PP1P/1R1R2KB b - -,g7d4 d1d4 d8c8 c3c4 a8a6 c2d3 a6b6 h1e4 e8d7 h2h3,-97
8/PK6/2B5/4P3/1k6/8/6q1/8 b - -,,0
2r2qk1/2R2pb1/2Q1p2p/6p1/p7/P1P3P1/1P3PP1/1K1R4 b - -,c8a8 d1d7 f8e8 c6f3 g7f8 f3f7 e8f7 d7f7 a8a5 f7f6,552
r4r2/1p2bppk/p1p2nn1/2Pp4/1P3P2/2N1B2P/1P2P1B1/R4RK1 b - -,f6h5 e3c1 f7f5 e2e3 h5g3 f1d1 g6h4 c1d2 g7g5 c3d5,-160
r2r1nk1/ppp2ppp/7q/2p2P2/2P2p2/3P3P/PBPQ2P1/R4RK1 b - -,d8e8 f1f4 h6b6 b2c3 f7f6 f4g4 b6d6 a1e1 d6c6 e1e4,40
r7/pp2kprp/8/8/3p4/7b/PP3PPP/RN2R1K1 b - -,e7f8 g2g3 g7g5 f2f3 g5b5 e1e2 b5c5 b1a3 d4d3 e2d2,-73
4r1k1/2R1q1p1/5pb1/p2pB2p/P2P3P/7Q/1P3PP1/6K1 b - -,e7e6 h3e6 e8e6 e5f4 e6e1 g1h2 e1a1 b2b3 a1a2 h2g3,17
r1bqk2r/3nbpp1/3p1n1p/1pp1pN2/p2PP3/2P2N2/PPB2PPP/R1BQR1K1 b kq -,h8g8 h2h3 d8b6 c1e3 e7f8 b2b4 a4b3 a2b3 a8a1 d1a1,187
8/1Q6/8/1k6/1q6/b4B2/2r2PPP/R5K1 b - -,b5c5 b7c6 c5d4 a1d1 b4d2 c6c2 d2d1 c2d1 d4c3 d1e1,6761
8/K7/P5k1/8/7P/8/8/5r2 b - -,,0
4rbk1/Rppb2pp/3p4/8/3P4/1P2q1N1/1PP2NPP/3Q1K2 b - -,d7b5 c2c4 b5a6 g3f5 e3e6 f5h4 d6d5 h4f3 e6b6 a7a6,-269
r4rk1/pp1n1pp1/2N3p1/2q1p3/8/2P3NP/PP2QPP1/R3R1K1 b - -,c5c6 a1d1 f7f5 e2d2 f8f7 d2d6 a8c8 g3e2 c6d6 d1d6,12
rnbqk1nr/p1p2pb1/1p1pp1pp/8/P2PPB2/2N2N2/1PPQ1PPP/R3KB1R b KQkq -,g8e7 f1c4 b8d7 e1h1 c8b7 a4a5 a7a6 a5b6 d7b6 c4d3,64
1rb3k1/pp1n1r1p/6p1/3Npq1n/2P5/5N2/PP2BPPP/R2Q1RK1 b - -,d7f8 h2h3 h5f4 d5f4 f5f4 d1d5 g8g7 e2d3 c8h3 g2h3,274
r1b1r1k1/2qnb1pp/p2pp3/1p4PP/4P3/1NNQB3/PPP5/2K3RR b - -,d7e5 d3d1 c8d7 c1b1 a6a5 b3d4 a5a4 c3e2 e5c4 e3c1,-65
8/p7/1p1k3r/2p4P/2P2pbR/PP6/1P3K2/8 b - -,g4f5 h4f4 h6h5 f2e3 d6e5 f4f2 h5h3 e3d2 h3b3 d2c1,-484
2R5/8/6pk/5r2/4K3/7P/6P1/8 b - -,,0
3r1k2/pp4p1/4Np1p/b2B4/3P4/4PK2/1r3PPP/7R b - -,,0
r2q1rk1/pp3ppp/4bN2/2p1p3/1n1pP3/3P2P1/PPPN1PBP/R2Q1RK1 b - -,d8f6 f2f4 e6d7 a2a3 b4c6 f4f5 f6h6 h2h4 b7b5 f1f2,6
r1b2r2/pp2p1kp/2p3q1/3p3n/3PNp2/3Q3P/PPP1PPBN/R3R1K1 b - -,c8f5 d3a3 d5e4 g1h1 g7h8 a3e7 a8e8 e7h4 e4e3 e1f1,-296
rn1q1rk1/6b1/4bnpp/3ppp2/3P4/2N3P1/3NPPBP/1RBQ1RK1 b - -,e5d4 c3b5 b8c6 c1b2 f6e4 d2b3 e4c3 b2c3 d4c3 b1c1,24
8/P5q1/1KB5/4P3/1k6/8/8/8 b - -,,0
r3kbnr/1p3ppp/p1p1p3/2p5/4PP1q/2NP1P2/PPP1K2P/R1BQ3R b kq -,g8e7 d1e1 h4e1 e2e1 e7g6 c1e3 f8d6 c3a4 g6f4 e1d2,2
r1b2r2/pp1n1pp1/2p1p1nk/2b1P1q1/2P1N3/7Q/PP3PPP/R1B2RK1 b - -,g8e7 d1e1 h4e1 e2e1 e7g6 c1e3 f8d6 c3a4 g6f4 e1d2,Mate
1k6/1p6/p1p2p2/P5p1/1PPKP3/5PPp/r6P/1R6 b - -,a2e2 f3f4 e2d2 d4c5 d2h2 b1f1 h2g2 f4g5 f6g5 c5b6,18
5rk1/p4pp1/1q1bpn1P/2np4/p7/2P1PP2/Pr1BQ3/R3KB1R b KQ -,g7g6 h6h7 g8h8 f1g2 d6g3 e1f1 b2b1 a1b1 b6b1 d2e1,-663
r4rk1/pp1n1pp1/2q3p1/4p3/8/2P3NP/PP2QPP1/3RR1K1 b - -,f7f5 e2d3 f8f7 d3d6 a8c8 h3h4 c8c7 b2b3 c6d6 d1d6,20
8/8/Q7/8/kq6/b4B2/2r2PPP/R5K1 b - -,a4b3 a6e6 b3b2 e6a2 b2c3 a2a3 b4a3 a1a3 c3d4 g2g3,819
5kr1/p4pNp/1q2p3/8/1b2B3/1P6/1BP2rPP/Q4RK1 b - -,f2f3 b2d4 f3f1 g1f1 b6b5 e4d3 b5g5 a1a7 e6e5 d4e3,318
r2qkbnr/p3pppp/2B3b1/8/3p2P1/2N4P/PPPP1P2/R1BQK2R b KQkq -,d8d7 c6d7 e8d7 d1f3 a8c8 f3d5 d7e8 d5b5 e8d8 b5a5,696
4r3/6k1/p1pR1B1p/P4p2/8/1P5P/5PP1/6K1 b - -,g7f7 d6c6 e8e6 c6e6 f7e6 f6g7 h6h5 g7h6 e6e5 g1h2,687
8/5k2/1B2ppp1/1n5p/5P2/Pr2P1K1/6PP/R7 b - -,,0
4r1k1/2R3p1/4Qpb1/p2pB2p/P2P3P/8/1P3PP1/6K1 b - -,e8e6 e5g3 e6e1 g1h2 e1e4 c7a7 e4d4 a7a5 d4b4 a5d5,18
3R4/4rppk/1p5p/p2B4/1b3PPP/4PK2/P7/8 b - -,e7a7 h4h5 g7g6 h5g6 h7g6 e3e4 g6g7 e4e5 b4e7 d8e8,169
3r3k/1p3pbp/p7/3N1p2/5P2/1P5P/P4KP1/3R4 b - -,g7f8 f2e2 h8g7 b3b4 h7h5 a2a3 h5h4 d1d4 g7g6 e2d3,14
4k3/7R/2p5/6Bp/6b1/2K2p2/1P3P2/4r3 b - -,,0
r2qr1k1/ppp1bpp1/2nnb2p/8/5QP1/2NBBN1P/PPP2P2/2KR3R b - -,e7f6 c3e4 d6e4 f4e4 g7g6 d3b5 d8e7 a2a3 a8b8 h1e1,29
3N4/pp2k1p1/5p1p/b2B4/3P4/4PK2/1r3PPP/7R b - -,,0
5qk1/1br3pp/pp1p4/3Pn3/P3Pp2/1N3P2/2r1B1PP/1R1Q1RK1 b - -,f8e8 b3d4 c2a2 d1b3 e8a4 b3b6 c7d7 f1e1 h7h6 e2f1,253
8/1K6/P5k1/8/7P/8/8/7r b - -,,0
r4rk1/pp1nq1pp/2p1p3/3p1p1b/2PP4/1PNNPPb1/PBQ3B1/4RRK1 b - -,e7h4 f1f2 a8e8 g1f1 g7g5 c3e2 g3f2 d3f2 g5g4 f3f4,-74
4Q3/1P5k/3Q4/8/6Pp/8/4r1PK/8 b - -,e6e5 d4e5 e7h4 f1f2 d5c4 b3c4 f8d8 e5e6 h4h2 g1f1,Mate
8/7p/5k2/P1p2p2/3b4/1R2B1PP/1P3r2/7K b - -,,0
r4k2/pp3prp/8/8/3p4/6Pb/PP3P1P/RN2R1K1 b - -,g7g5 b1a3 g5c5 f2f3 d4d3 a1d1 a8d8 d1d2 h3e6 b2b3,-75
4k3/p1p2pp1/1pp4p/8/4PPq1/P2B4/1BPQ1P1P/4R2K b - -,g4f3 h1g1 f3g4 g1f1 g4h3 f1e2 h3h5 e2e3 g7g5 f4g5,886
r1b2r2/pp1n1pp1/2p1p2k/2b1P1q1/2P1N2Q/8/PP3PPP/R1B2RK1 b - -,g4f3 h1g1 f3g4 g1f1 g4h3 f1e2 h3h5 e2e3 g7g5 f4g5,Mate
1r4k1/7p/R5p1/4K3/6bP/3B4/5P2/8 b - -,,0
8/P6k/8/1K6/R7/7P/5p2/5r2 b - -,g8g7 a6a7 g7h6 e5f4 g4c8 d3e4 b8b3 a7c7 c8e6 c7e7,Mate
rk1rb3/1pq2p2/3p3p/p5p1/1p1R2P1/2P5/P1Q1PP1P/1R4KB b - -,d8c8 c2f5 c7c3 d4d6 c8c5 d6d5 c5d5 f5d5 c3c7 a2a3,-96
5rk1/p4pp1/1q1bpn1P/2np4/p7/2P1PP2/P2BQK2/Rr3B1R b - -,b1a1 f2g1 g7g6 h6h7 g8h8 d2e1 b6b1 e1h4 c5d7 a2a3,-837
8/8/P3r1p1/1P6/K7/6p1/5k2/R7 b - -,e6e1 a1e1 f2e1 a6a7 g3g2 a7a8q g2g1q a8e4 e1d2 e4b4,230
rn1qk1nr/pbp2pb1/1p1pp1pp/P7/3PPB2/2N2N2/1PPQ1PPP/R3KB1R b KQkq -,a7a6 a5b6 c7b6 f1d3 b6b5 e1h1 g6g5 f4g3 g8f6 d4d5,95
4r3/4qppk/2R3b1/p2pB2p/P2P3P/1P5Q/5PP1/6K1 b - -,f7f6 c6c7 e7f8 e5g3 e8e7 h3c8 f8c8 c7c8 e7b7 c8c3,17
4r3/5pkp/p5p1/1p4P1/5n2/2Pp1P2/P3r2P/1R1K1R2 b - -,f7f6 c6c7 e7f8 e5g3 e8e7 h3c8 f8c8 c7c8 e7b7 c8c3,Mate
6k1/2R3p1/4rpb1/p2p3p/P2P3P/6B1/1P3PP1/6K1 b - -,e6e1 g1h2 e1e4 c7a7 e4d4 a7a5 d4b4 a5d5 b4a4 f2f3,18
r4rk1/pp3ppp/4bq2/2p1p3/1n1pPP2/3P2P1/PPPN2BP/R2Q1RK1 b - -,f6h6 a2a3 b4c6 f4f5 e6d7 g1h1 b7b5 f1f3 a7a5 g3g4,10
8/4b2p/6p1/p7/6P1/2p1B2P/k1K5/8 b - -,a2a3 c2c3 e7f6 c3c4 a3b2 c4b5 f6c3 b5a4 b2c2 a4b5,-521
3r3k/5B2/7K/8/R7/8/8/8 b - -,d8d6 f7g6 d6d8 a4f4 h8g8 f4f6 g8h8 g6f5 d8g8 f6b6,67
3r1rk1/1q2nppp/p3b3/1p2P3/1np1PP2/2N1B3/1P2B1PP/RQ3RK1 b - -,e7c6 f4f5 e6c8 f5f6 c6e5 e3c5 b4d3 c5f8 d8f8 e2d3,64
4r1k1/ppb3pp/6p1/3pN3/3B4/P1N5/1P5P/5R1K b - -,c7d8 a3a4 d8b6 d4b6 a7b6 e5f3 g6g5 f3g5 d5d4 c3b5,564
8/7p/5k2/P1p2p2/8/4R1PP/1P3r2/7K b - -,f2d2 e3b3 c5c4 b3b8 c4c3 b2c3 d2a2 b8b5 f6g5 h1g1,219
r3kb1r/1p2nppp/p1p1p3/2p5/4PP1q/2NP1P2/PPP1K2P/R1B3QR b kq -,e7g6 g1g5 f8d6 g5h4 g6h4 e2f2 h4g6 c3e2 f7f5 a2a4,10
6B1/8/8/p2k2p1/P2p2P1/r1p5/1N3PK1/8 b - -,d5c6 b2c4 c3c2 c4a3 c2c1q a3c4 c1e1 f2f4 e1e4 g2f2,-673
r2q1rk1/pp1n1ppp/2pbbn2/3p2B1/3P1N2/2NBP3/PP3PPP/R2Q1RK1 b - -,d8e7 d1b3 h7h6 g5h4 d7b6 a2a4 g7g5 f4e6 e7e6 h4g3,23
q5k1/8/1r2p2p/3pN2b/2pP4/2P5/1PQ1RPP1/6K1 b - -,g8h8 c2c1 h8h7 e2e1 a8d8 e1e3 d8g5 c1a1 b6b7 e3g3,293
1r3rk1/6pp/p2q2b1/3pN3/1ppP4/3nR1NP/PP1Q1PP1/5RK1 b - -,b8e8 e5d3 e8e3 d2e3 g6d3 f1d1 d6f4 e3f4 f8f4 f2f3,-150
8/8/P3r1p1/KP6/8/8/5kp1/R7 b - -,e6e1 a1e1 f2e1 a6a7 g2g1q a7a8q g1c5 a8e8 e1f2 e8f7,33
4r3/2R1q1pk/5pb1/p2pB2p/P2P3P/1P5Q/5PP1/6K1 b - -,e7d8 e5g3 e8e7 h3c8 d8c8 c7c8 e7e1 g1h2 e1b1 c8c3,11
6k1/2R3p1/5pb1/p2p3p/P2P3P/6B1/1P3PPK/4r3 b - -,e1d1 c7c5 d1d4 c5a5 d4b4 a5d5 b4a4 f2f3 a4b4 d5d2,19
8/8/1n1k3p/2p2pp1/4p3/1PK1P3/P1N2PPP/8 b - -,d6c6 b3b4 f5f4 b4c5 c6c5 e3f4 g5f4 g2g3 f4f3 c2e3,220
r2qk1nr/pp2ppbp/2p3p1/2p1P3/6b1/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,g8h6 h2h3 g4f3 e2f3 g7e5 g2g4 f7f6 c3e4 h6f7 e4c5,-94
r2q1rbk/1p2n1bp/2np4/p1pNppNQ/2P5/P2P2P1/1P1B1PBP/1R3RK1 b - -,e7d5 g2d5 d8e8 h5h3 e8g6 f2f4 c6d4 d5g8 h8g8 h3g2,-4
1rb2rk1/2Q1qpp1/p5np/8/P7/4N1P1/4PPBP/2RR2K1 b - -,e7c7 c1c7 b8b2 g1f1 g6e5 h2h3 b2b3 e3d5 e5g6 h3h4,225
2K5/8/P5k1/8/7P/8/8/1r6 b - -,,0
8/P7/K1B5/4P3/1k6/8/8/6q1 b - -,,0
8/8/8/6Qk/1p3q2/8/6K1/8 b - -,g1c5 a7a8q c5e5 a8f8 b4c3 f8f2 e5d4 f2e1 c3b3 e1b1,Mate
2q5/p4pkp/6p1/1P1p4/3b4/3N2P1/P3QP1P/5K2 b - -,c8c4 d3f4 g7f8 h2h4 h7h5 a2a3 c4c1 f1g2 c1a3 f4d5,-12
r1b2rk1/1p1n1p1p/2pR2p1/8/p1P1qP2/2P1B1P1/P1N4P/2RQ2K1 b - -,e4c4 d6d7 c8d7 d1d7 f8e8 d7d4 c4e2 d4d2 e2d2 e3d2,-73
r2qr1k1/1b3ppp/p4b2/1pP5/8/1BP3P1/P2N1P1P/R1BQR1K1 b - -,e8e1 d1e1 f6c3 a1b1 d8d7 c1b2 d7c6 f2f3 c3d2 e1e5,43
8/5k2/4ppp1/2B4p/5P2/nr2P1K1/6PP/R7 b - -,,0
8/8/P3r1p1/1P6/K7/5kp1/8/6R1 b - -,f3f2 g1b1 e6e1 b1e1 f2e1 a6a7 g3g2 a7a8q g2g1q a8e4,206
3qr3/2R3pk/5pb1/p2p3p/P2P3P/1P4BQ/5PP1/6K1 b - -,e8e1 g1h2 e1e4 c7b7 d8e8 b7b8 e8c6 b8c8 c6b6 h3d7,10
r1bq1r2/pp1n1pp1/2p1p1nk/2b1P1N1/2P1N1Q1/8/PP3PPP/R1B2RK1 b - -,f8h8 g5f7 h6h7 f7g5 h7h6 g5f3 g6f4 c1f4 h6h7 f3g5,1486
r2qk1nr/pbpn1pb1/Pp1pp1pp/8/3PPB2/2N2N2/1PPQ1PPP/R3KB1R b KQkq -,b7e4 c3e4 g6g5 f4e3 f7f5 e4g3 f5f4 e3f4 g5f4 d2f4,332
r3kbnr/pp2pppp/1qN3b1/1B1N4/3p2P1/7P/PPPP1P2/R1BQK2R b KQkq -,b6c5 c6a5 c5b5 d5c7 e8d8 c7b5 g8f6 a5b7 d8c8 b7c5,789
8/7p/5k2/P1p2p2/8/R5PP/1r6/7K b - -,,0
8/8/Q7/8/1q6/bk6/2r2PPP/R2B2K1 b - -,b4e1 a6f1 e1f1 g1f1 b3b2 a1a3 c2d2 a3b3 b2a2 b3b6,685
rn1q1rk1/1p2bppp/pn1pb3/6P1/4PB1P/1NN5/PPP1B3/R2QK2R b KQ -,b8c6 d1d2 c6e5 e1a1 a8c8 c1b1 d8c7 b3a5 f7f6 f4e3,74
8/pp3pkp/5p2/3Pq3/8/6P1/P4PBP/2R3K1 b - -,b7b5 c1c5 b5b4 g2f1 h7h5 c5a5 h5h4 a5a7 e5d5 a7a6,-99
q4rk1/5ppp/3p1n2/2n1pP2/1p2P3/4Q3/1PK1N1BP/3R3R b - -,f8c8 c2d2 a8a2 d2e1 a2b2 d1d6 h7h6 g2f3 b4b3 e1f1,173
4k3/p1p2pp1/1pp4p/8/4PP2/P2B1q2/1BPQ1P1P/4R1K1 b - -,f3g4 g1f1 g4h3 f1e2 e8e7 e1g1 h3h2 g1g7 h2h5 e2e3,900
8/PK6/2B5/4P3/1k6/8/8/q7 b - -,,0
8/7p/P4k2/5p2/2p5/R5PP/1r6/7K b - -,,0
r3kb1r/1p3ppp/p1p1p1n1/2p3Q1/4PP1q/2NP1P2/PPP1K2P/R1B4R b kq -,,0
1K6/8/P5k1/8/7P/8/8/2r5 b - -,,0
1r3qk1/2R2pb1/4p2p/6p1/Q7/P1P3P1/1P3PP1/1K1R4 b - -,b8b6 a4d7 b6b8 c7b7 b8b7 d7b7 g7c3 b2c3 e6e5 b7b2,509
2r2rk1/4bppp/2n5/1B1bp3/8/1P6/P1N2PPP/R1B2RK1 b - -,c6a7 b5d3 f8d8 d3f5 c8a8 c2e3 d5b7 c1b2 g7g6 f5c2,97
1k1r3r/pppbqpb1/2n1p3/4P2p/2BP2pN/2N1Q1P1/PPP4P/1K1R3R b - -,c6a5 c4e2 c7c5 d4c5 g7h6 e3f2 a5c6 c3b5 h6g5 a2a3,-37
r4r2/pp2p1kp/2p3q1/3p1b1n/3PNp2/3Q3P/PPP1PPBN/R3R2K b - -,d5e4 d3b3 e4e3 e1f1 g7h8 g2f3 e3f2 f3h5 g6h5 b3f3,-326
r3k2r/p1p2ppp/4n3/1bP1P3/3p4/1P3P2/P2N1BPP/R2R2K1 b kq -,a8d8 d2e4 e8h8 d1d2 d8d7 a1c1 b5c6 e4g3 f8d8 c1d1,65
3q4/2R3pk/5pb1/p2p3p/P2P3P/1P4BQ/5PPK/4r3 b - -,e1e4 c7b7 d8e8 b7b8 e8c6 b8c8 c6b6 h3d7 b6d4 c8d8,7
r3r1k1/1ppq1pb1/3pbnpp/p1n5/2PNP3/1PN1B1PP/P4PBK/R2QR3 b - -,d7e7 d1d2 h6h5 a1d1 e6d7 f2f3 c7c6 h2g1 d7e6 f3f4,181
3R4/4rppk/1p5p/p1b5/4BPPP/4PK2/P7/8 b - -,f7f5 g4f5 h6h5 f5f6 e7e4 f3e4 g7f6 e4f5 c5e3 d8d7,535
1rb2rk1/2R2pp1/p5np/8/P7/4N1P1/4PPBP/3R2K1 b - -,b8b4 d1c1 c8e6 f2f4 e6a2 a4a5 b4a4 c1c5 f8b8 e3d5,259
