8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
8/8/P7/2p5/6k1/8/4Kp2/8 b - -,c6e5 d3h7 f6h7 d1h5 e5d3 e1d2 f7f6 h5h7 g8f7 h7d3,Mate
3r4/7R/2pPk1p1/5p2/P2P4/7P/8/6K1 b - -,d8d6 a4a5 d6d4 h7g7 e6f6 g7c7 d4c4 a5a6 c6c5 a6a7,-10
r2b3r/pN2kpp1/1n2b2p/3pN3/3P4/6P1/PP3PBP/R3K2R b KQ -,d8c7 e5c6 e7d7 a1c1 b6c4 c6b4 c7b6 b2b3 c4a5 b7c5,134
rn1qk1nr/pp2ppbp/2p3p1/8/2BPN3/2P2Q2/PP3PPP/R1B1K2R b KQkq -,f7f5 e4g5 e7e5 d4e5 d8e7 c1f4 b8d7 e1a1 e8a8 g5f7,504
rnb1k2r/ppqpbppp/4p3/2pnP3/2P5/3B1N2/PP3PPP/RNBQK2R b KQkq -,d5b4 d3e4 d7d6 e5d6 e7d6 b1c3 a7a6 c1e3 b8d7 d1d2,-30
2kr4/1p1rb3/p1p1N3/P4b2/R4p1p/5B1P/1PP2PP1/2K1R3 b - -,d8g8 e6d4 f5h7 f3g4 e7c5 a4c4 c5d6 d4f3 g8g4 h3g4,371
8/7k/P1K5/8/5R2/7P/5p2/5r2 b - -,,0
8/8/5k2/5Pp1/4K1P1/8/1b6/8 b - -,f6e7 e4d5 e7d7 d5c5 b2f6 c5d5 f6g7 d5c5 g7b2 c5d5,-46
3R3Q/8/p1kP4/K7/6r1/8/8/8 b - -,f6e7 e4d5 e7d7 d5c5 b2f6 c5d5 f6g7 d5c5 g7b2 c5d5,Mate
rn1qkbnr/p2ppppp/b7/1pp5/8/PPPP4/4PPPP/RNBQKBNR b KQkq -,e7e6 g1f3 g8f6 e2e4 d7d6 b1d2 f8e7 f1e2 a6b7 e1h1,5
r4r1k/1b4b1/p4n1p/1pB1pBpP/P1p1Pp2/1NPQ4/1P4P1/R4R1K b - -,f8d8 d3e2 c4b3 c5e7 b5a4 e7f6 g7f6 e2c4 a4a3 c4f7,481
1q3k1r/2r2p1p/5P2/3p4/8/4Q3/PPP3PP/1K2R3 b - -,h7h6 e3a3 c7c5 a3c5 f8g8 c5d5 h8h7 d5d7 h7g7 e1e8,1019
8/8/P7/2p5/8/6k1/5p2/5K2 b - -,h7h6 e3a3 c7c5 a3c5 f8g8 c5d5 h8h7 d5d7 h7g7 e1e8,Mate
8/3Q4/8/1k6/1q6/b4B2/2r2PPP/R5K1 b - -,b5c4 d7c6 b4c5 c6a4 c4c3 a1a3 c5a3 a4a3 c3d4 a3b4,Mate
