rnb1k1nr/pppp1ppp/5q2/2b1p3/2P5/2NP1N2/PP2PPPP/R1BQKB1R b KQkq -,f6e6 d3d4 e5d4 f3d4 e6e5 c3d5 b8a6 d4f3 e5e6 a2a3,147
rnb1k1nr/pppp1ppp/5q2/2b5/3pP3/5N2/PPP1NPPP/R1BQKB1R b KQkq -,b8c6 c1d2 g8e7 e2f4 d7d6 f1d3 c8g4 e1h1 e8h8 h2h3,-91
2r5/qb2kpp1/pN2p3/P7/1p2P3/3B1P2/1P3KPr/3R4 b - -,c8c5 d1a1 c5g5 d3f1 a7b8 a1d1 b8g3 f2e3 g3c7 d1d7,-1569
rnbq1rk1/pp1p1ppp/3b1n2/2pP4/4P3/2NB4/PP3PPP/R1BQK1NR b KQ -,c5c4 d3c4 d6c5 g1f3 d7d6 h2h3 f8e8 e1h1 c5b4 f1e1,122
4k3/B7/8/8/8/8/8/4KN2 b - -,e8d7 e1d2 d7c7 d2d3 c7c6 a7g1 c6d5 f1e3 d5d6 d3e4,7594
rnbqkb1r/pp1p2pp/5n2/2p2P2/2B1p3/1N6/PPPP1PPP/RNBQK2R b KQkq -,h7h5 d2d3 d7d5 c4b5 b8c6 d3e4 f6e4 e1h1 f8e7 b1c3,126
rnb1kb1r/pp1p1ppp/1q2pn2/8/3P1B2/5N2/PPPN1PPP/R2QKB1R b KQkq -,f8e7 d2c4 b6c6 f1d3 e8h8 e1h1 d7d6 c4e3 c6c7 h2h3,121
rnbqk2r/pp1nppbp/2p3p1/3pP3/3P4/2N1BN1P/PPP2PP1/R2QKB1R b KQkq -,f7f6 e5f6 d7f6 f1d3 e8h8 e1h1 c8f5 d3f5 g6f5 c3e2,152
r1bqkb1r/pp1n1ppp/4pn2/2Pp4/5B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,a7a5 c2c4 d7c5 d3e2 f8e7 b1c3 e8h8 c4d5 f6d5 c3d5,18
rnbqk2r/ppp1bppp/3p1n2/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,b8a6 e2e4 e8h8 f1d3 c7c6 e1h1 c6d5 c4d5 d8c7 c1e3,82
rnbqkb1r/pp1p2pp/5n2/2p2P2/4p3/1N6/PPPPBPPP/RNBQK2R b KQkq -,h7h5 d2d4 e4d3 d1d3 b8c6 b1c3 d7d5 c1g5 c6b4 d3e3,195
r1b1kb1r/ppp2ppp/3p2q1/1N6/5PnN/6K1/PPPP2PP/R1BQ3R b kq -,g4f6 h4g6 h7g6 b5c7 e8d8 c7a8 f6e4 g3f3 c8g4 f3g4,930
rnbqkbnr/pp3ppp/2p1p3/8/3Pp3/2N5/PPP1BPPP/R1BQK1NR b KQkq -,g8f6 f2f3 c6c5 d4c5 d8d1 e2d1 e4f3 d1f3 f8c5 g1e2,-96
r2qkb1r/pp1npppp/2p2n2/8/P1NP2b1/2N5/1P2PPPP/R1BQKB1R b KQkq -,a7a5 f2f3 g4e6 e2e4 e6c4 f1c4 e7e6 e1h1 f8b4 c1e3,128
8/8/1k1N4/3K4/5B2/8/8/8 b - -,d7b6 c4e5 a7a5 e5g4 f6g4 e2e4 g4f6 c1e3 e7e6 f1d3,Mate
rnbqkbnr/ppp2ppp/4p3/1B6/3Pp3/2N5/PPP2PPP/R1BQK1NR b KQkq -,e8e7 c3e4 c8d7 b5d3 e7e8 g1f3 f8e7 e1h1 d7c6 e4g5,148
rnbqkb1r/pp1ppppp/2p5/6B1/2PPn3/5N2/PP2PPPP/RN1QKB1R b KQkq -,e4g5 f3g5 d7d5 e2e3 d5c4 h2h4 h7h6 g5e4 b7b5 d1f3,-79
rnbqkbnr/ppppp2p/6p1/5p2/3P1B1P/8/PPP1PPP1/RN1QKBNR b KQkq -,e7e6 b1c3 f8g7 f4g5 g8f6 h4h5 h7h6 g5f6 d8f6 h5g6,145
8/8/8/8/8/2NK4/8/2kB4 b - -,e7e6 b1c3 f8g7 f4g5 g8f6 h4h5 h7h6 g5f6 d8f6 h5g6,Mate
8/1k6/8/3K4/2N5/8/7B/8 b - -,b7a8 d5c6 a8a7 c6c7 a7a8 c4d6 a8a7 h2g1 a7a6 c7c6,335
rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/6PP/PPP1PPB1/RNBQK1NR b KQkq -,g4c8 c2c4 g8f6 g1f3 c8f5 e1h1 h7h6 d1b3 d8b6 b1c3,82
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P4/5NP1/PPPNPP1P/R1BQKB1R b KQkq -,h7h6 f1g2 g8f6 c2c4 f8e7 e1h1 e8h8 b2b3 c7c6 c1b2,-35
rnbq1rk1/pp3ppp/3ppn2/3p4/3P4/2N1P3/PPP2PPP/R2QKBNR b KQ -,b8c6 f1e2 e6e5 g1f3 a7a6 e1h1 c8e6 a2a3 d8b6 a1b1,-86
rnbqkbnr/pp1p1ppp/8/2pPp3/2P1P3/8/PP3PPP/RNBQKBNR b KQkq -,g7g6 b1c3 d7d6 f1d3 g8f6 c1g5 h7h6 g5e3 f8g7 g1e2,158
r2qkb1r/pp1npppp/2p2n2/3P2B1/3P2b1/2N2N2/PP2PPPP/R2QKB1R b KQkq -,h7h6 g5f6 e7f6 d5c6 b7c6 e2e3 a8b8 d1c2 d8b6 a1b1,178
r1bqk2r/ppp2ppp/3p1n2/2b1p3/2BnP3/P1NP3P/1PP1NPP1/R1BQK2R b KQkq -,c7c6 e2d4 c5d4 d1f3 e8h8 c3e2 d6d5 c4a2 d4b6 c1g5,-20
rnb1k2r/ppp1qppp/5n2/3p4/1b1P4/2NB1N2/PPP1QPPP/R1B1K2R b KQkq -,c7c6 e1h1 e8h8 a2a3 b4d6 e2e7 d6e7 h2h3 b8d7 f1e1,35
rnb1k1nr/ppp1ppbp/4q1p1/6N1/8/2N5/PPPPBPPP/R1BQK2R b KQkq -,e6f6 g5f3 f6d6 d2d4 g8f6 c3b5 d6d8 c2c4 e8h8 b5c3,86
8/6P1/4k3/4p1p1/4K3/3P4/8/8 b - -,e6f6 g5f3 f6d6 d2d4 g8f6 c3b5 d6d8 c2c4 e8h8 b5c3,Mate
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/1PN2N2/P1PP1PPP/R1BQK2R b KQkq -,d8e7 e1h1 c8g4 h2h3 g4h5 d1e2 g7g5 c3a4 c5d6 d2d3,-36
