r1bqkbnr/ppp2ppp/2n5/3pp3/P2P4/2P1P3/1P3PPP/RNBQKBNR b KQkq -,g8f6 g1f3 f8d6 d4e5 c6e5 f3e5 d6e5 d1c2 e8h8 f1d3,-98
rnbqkb1r/pp2pppp/5n2/2pp4/2P2P2/3P1N2/PP2P1PP/RNBQKB1R b KQkq -,b8c6 c4d5 f6d5 e2e4 d5c7 b1c3 c7e6 g2g3 e6d4 f1g2,-68
rnbqkb1r/1p2pppp/p2p1n2/2p5/P3P3/2N2NP1/1PPP1P1P/R1BQKB1R b KQkq -,e7e5 d2d3 b8c6 f1g2 c8g4 h2h3 g4e6 e1h1 h7h6 f3h2,54
rnbqk2r/pp3ppp/4Pn2/2b5/8/5N2/PP2PPPP/RNBQKB1R b KQkq -,c5f2 e1f2 d8d1 b1c3 d1d6 e6f7 e8f7 e2e3 f6g4 f2g1,-748
rnbqk2r/pp3ppp/4Pn2/8/8/5N2/PP2PKPP/RNBQ1B1R b kq -,d8d1 e6f7 e8f7 b1c3 d1d6 e2e3 d6c5 f1b5 c8d7 b5d7,-784
rnbqkb1r/pp3p1p/2p2np1/3p2B1/3PP3/2N5/PPQ2PPP/R3KBNR b KQkq -,f8g7 e4e5 e8h8 e5f6 g7f6 g5f6 d8f6 c2d2 b7b5 f1e2,599
r1bqkbnr/pp2pppp/2n5/2p5/3p4/1P1PP3/PBPN1PPP/R2QKBNR b KQkq -,e7e5 g1f3 g8f6 g2g3 f6d5 e3e4 d5c3 b2c3 d4c3 d2c4,-95
r1bqk1nr/pp1nppb1/2pp3p/6p1/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 b kq -,d7f8 a2a4 f8g6 a4a5 e7e6 e2d3 e6e5 d4e5 d6e5 d3c4,136
r1bqk1nr/pppp1ppp/2n5/3N4/3pP3/8/PPP2PPP/R1BQKB1R b KQkq -,h7h5 h2h3 d7d6 f1b5 c8d7 e1h1 g8e7 f1e1 e8h8 d1h5,94
r1bqkb1r/pp3ppp/2n5/1Bppp3/4N3/P4N2/1PPP1PPP/R1BQK2R b KQkq -,c8g4 e4g3 e5e4 h2h3 g4e6 f3e5 d8c7 e5c6 b7c6 b5a4,287
r1bq1rk1/pppp1ppp/2n2n2/2b1p1N1/2B1P3/3P1Q2/PPP2PPP/RNB1K2R b KQ -,h7h6 g5f7 f8f7 c4f7 g8f7 c1e3 d7d6 f3d1 f7g8 e1h1,-387
r1bq1rk1/ppp2ppp/2n2n2/2bPp1N1/2B5/3P1Q2/PPP2PPP/RNB1K2R b KQ -,c8g4 f3g3 c6d4 f2f3 d4f5 g3e5 f8e8 g5e6 f7e6 d5e6,-508
rnbqkb1r/2pn1ppp/p3p3/1p1pP3/3P4/1BN5/PPP2PPP/R1BQK1NR b KQkq -,c7c5 d4c5 d7e5 d1e2 b8c6 c1f4 e5c4 g1f3 f8c5 a2a4,-113
rnb1k1nr/ppppqppp/8/4p3/2P5/6P1/PP1PPP1P/R1BQKBNR b KQkq -,c7c5 f1g2 b8c6 b2b3 d7d6 d2d3 c8e6 g1f3 g8f6 c1b2,21
r1b1kbnr/pppp1ppp/2n1p1q1/4P3/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,f8b4 c2c3 f7f5 e5f6 g6f6 c1g5 f6f7 c3b4 c6b4 d3e2,464
rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/2PP1P2/PP4PP/RNBQKBNR b KQkq -,f8c5 d3d4 e5d4 c3d4 c5b4 c1d2 b4d2 d1d2 d5e4 b1c3,-194
