rnbqr1k1/pp3pbp/5np1/8/3Np3/1Q4P1/PB1NPPBP/R2R2K1 b - -,b8a6 a1c1 d8a5 d4b5 c8e6 d2c4 a5b4 b3b4 a6b4 c4d6,41
8/p4kp1/1p6/1P1r2pn/P1p1R3/2Bn1pPP/2R2P2/6K1 b - -,h5f6 e4c4 d3c5 c2d2 d5f5 d2d1 f6e4 g3g4 e4c3 c4c3,407
r2qkb1r/ppp2ppp/2n1pn2/3p4/3P4/PP2P3/1BP1QPPP/RN2K1NR b KQkq -,f8d6 g1f3 e8h8 b1d2 f8e8 e1h1 e6e5 d4e5 c6e5 f1d1,17
8/5ppk/4n1p1/p2p2P1/1PqP1P2/2P3P1/1P1QR3/6K1 b - -,a5b4 d2e3 b4c3 b2c3 c4b3 e3d3 h7g8 d3c2 b3b5 g1g2,294
r1bqkb1r/1pp2p2/p3pn1p/n2P2p1/P1p1P3/2N2NB1/1P3PPP/R2QKB1R b KQkq -,f8b4 f1e2 e8h8 h2h4 g5g4 f3e5 e6d5 e1h1 d5d4 c3d5,-125
8/8/8/2K5/8/2k5/3p1N2/8 b - -,,0
8/5ppk/4n1p1/3p2P1/1pqP1PP1/2P5/1P1QR3/6K1 b - -,b4c3 b2c3 c4a6 e2f2 h7g8 g1g2 a6c8 f4f5 e6f8 d2e3,321
4K3/3PB3/8/3k4/7b/8/8/8 b - -,b4c3 b2c3 c4a6 e2f2 h7g8 g1g2 a6c8 f4f5 e6f8 d2e3,Mate
8/5ppk/4n1p1/3p2P1/2qP1PP1/2P5/3QR3/6K1 b - -,c4b5 e2e1 e6f8 f4f5 h7g8 d2f4 b5a4 f4f3 a4a8 g1g2,325
rnbq1rk1/1p3ppp/p2ppn2/2b3B1/3NP3/2PB4/PP2QPPP/RN3RK1 b - -,h7h6 g5e3 b8d7 b1d2 d7e5 h2h3 e5d3 e2d3 e6e5 d4c2,-8
8/p4kp1/1p6/1Pnr2pn/P1R5/2B2pPP/2R2P2/6K1 b - -,d5d1 g1h2 h5f6 c3f6 g7f6 c2c3 f7e6 c3f3 f6f5 f3c3,392
r1bqk1nr/pppp1pp1/2n4p/b7/2BpP3/1QP2N2/P4PPP/RNB2RK1 b kq -,a5b6 c4f7 e8f8 f7g8 h8g8 c3d4 c6d4 f3d4 b6d4 b1c3,200
8/8/8/2K5/3N4/2k5/B7/8 b - -,c3d3 c5d5 d3d2 a2b1 d2c3 d4c6 c3d2 b1e4 d2e2 d5e5,20000
r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/2N5/PPP1BPPP/R1BQK1NR b KQkq -,d5e4 e2b5 c8d7 g1e2 a7a6 b5a4 d8h4 c1f4 e8a8 d1d2,-93
r1b1kb1r/pppq1ppp/2n2n2/4p3/8/PPN1P3/1B1P1PPP/R2QKBNR b KQkq -,d7f5 c3b5 f5d7 d1c2 a7a6 b5c3 d7g4 g1f3 g4g6 c2g6,20
rnbqkbnr/pp3ppp/8/2ppp3/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,b8c6 e4d5 d8d5 b1c3 d5d8 f1g2 f8d6 e1h1 g8e7 c3e4,33
r1bqk2r/1p2bppp/p1nppn2/8/2PNP3/2NBBP2/PP4PP/R2QK2R b KQkq -,h7h6 e1h1 e8h8 d4c6 b7c6 d1e2 e6e5 b2b3 f6h5 g2g3,47
4k3/8/3Q4/5K2/4n3/8/8/8 b - -,e4d6 f5f4 e8f7 f4e5 f7e7 e5d4 e7f6 d4d5 f6f5 d5c5,7
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/2N1BN2/PPP2PPP/R2QK2R b KQkq -,b8d7 d1e2 f8b4 e3d2 e8h8 a2a3 b4c3 d2c3 b7b6 c4d3,75
rnbq1b1r/pp3kp1/2p1pn1p/8/2B5/5N2/PPPP1PPP/R1BQ1RK1 b - -,c6c5 f3e5 f7g8 d1e2 b8c6 e5c6 b7c6 b2b3 f6d5 c1b2,-263
r2qkb1r/pp1n1ppp/2p1p3/3N4/3P4/P3BQ1P/1PP2PP1/2KR1B1R b kq -,c6d5 c1b1 f8d6 h3h4 e8h8 h4h5 a8c8 e3c1 d7b6 g2g4,87
rn1qkb1r/pp2pppp/3p1n2/2p2bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,b8d7 d4c5 d6c5 f3d2 h7h6 g5f6 g7f6 e2e4 f5h7 d1h5,32
r1bq1knr/pppp1Bp1/2n4p/b7/3pP3/1QP2N2/P4PPP/RNB2RK1 b - -,d8e7 f7d5 d7d6 c3d4 g7g5 c1b2 g5g4 f3d2 g8f6 d5c6,230
2b2knQ/r1q2rpR/p3p2B/1B1p1p2/3N1bP1/2N5/PPP5/1K4R1 b - -,f4e5 d4f3 e5c3 f3h4 f8e7 h8g8 e7d6 b2c3 a6b5 h4f5,715
r2qkb1r/pp3ppp/1np1pn2/8/3P4/P1N1BQ1P/1PP2PP1/1K1R1B1R b kq -,b6d5 e3c1 d5c3 f3c3 f6d5 c3f3 b7b5 h3h4 a8b8 h4h5,64
rnb1kb1r/pp3ppp/2p5/3pN3/4n2q/3B4/PPPP1PPP/RNBQ1RK1 b kq -,f8d6 g2g3 h4e7 d3e4 d5e4 d2d4 e8h8 f1e1 f7f5 f2f4,-85
r2qkb1r/pp3ppp/2p1pn2/3n4/3P4/P1N2Q1P/1PP2PP1/1KBR1B1R b kq -,d5c3 f3c3 f6d5 c3d3 b7b5 f2f4 f8e7 f4f5 e6f5 d3f5,65
8/5ppk/4n1p1/1q1p2P1/3P1PP1/2P5/3QRK2/8 b - -,b5b8 f2f3 e6f8 e2f2 h7g8 f3g2 b8b1 d2e3 b1d1 e3f3,303
3Q4/8/4k3/2K5/1r6/8/8/8 b - -,b4f4 d8d5 e6f6 c5d6 f4f5 d5d2 f6g6 d2d3 g6f6 d3c3,266
8/8/4k3/2K3Q1/5r2/8/8/8 b - -,,0
rnbqk2r/ppp1b1pp/4pn2/3p1p2/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 b kq -,e7d6 c2c4 c7c6 b1c3 f6e4 c1b2 b8d7 c3e2 d8f6 e2f4,68
rnbqkbnr/ppp2ppp/4p3/8/4P3/8/PPPPQ1PP/RNB1KBNR b KQkq -,c7c5 b2b3 f8e7 c1b2 g8f6 g1f3 b8c6 e4e5 f6d5 b1c3,-20
r1b1kbnr/pppp1ppp/2n1p1q1/6B1/3PP2P/5N2/PPP2PP1/RN1QKB1R b KQkq -,g6e4 f1e2 h7h6 b1c3 f8b4 g5d2 b4c3 b2c3 d7d6 h4h5,-74
1q6/5ppk/4n1p1/3p2P1/3P1PP1/2P2K2/3QR3/8 b - -,e6f8 f4f5 h7g8 f3g2 b8b5 d2e3 b5a5 e3g3 a5d8 g3f4,342
r1bqk2r/p1p2p2/2pp4/2b1p1p1/2B3P1/3P4/PPP2PP1/R1BQ1RK1 b kq -,d6d5 d1f3 d8d6 f1e1 e5e4 e1e4 c8e6 c1g5 d5e4 f3e4,-345
8/8/8/8/3k1n2/8/4Q3/4K3 b - -,,0
r3kbnr/ppp2p1p/3p2p1/3Pp3/2PnP1bq/2N2PN1/PP4PP/R1BQKB1R b KQkq -,g4d7 c1e3 f8g7 c3e2 d4e2 f1e2 h4e7 a1c1 b7b6 b2b4,43
8/8/8/8/4kn2/8/5Q2/4K3 b - -,,0
r2qkbnr/pp3ppp/2n1p3/3pP3/3P4/4BP2/PP3P1P/RN1QKB1R b KQkq -,d8h4 h1g1 f8b4 b1c3 g8e7 f1d3 e8h8 f3f4 f7f6 d1g4,-62
