6k1/8/6K1/3N4/8/8/8/1B6 b - -,a8b8 a2a4 f8e8 c1e3 d8e7 b2b3 a7a6 a5c4 e6c4 b3c4,Mate
r5k1/2r2ppp/1q6/pbNp4/1p1P2P1/1P2P2P/PPRQ4/1KR5 b - -,c7e7 c1g1 a8e8 g1g3 b6h6 a2a4 b4a3 d2a5 b5f1 b2a3,24
rn1q1bk1/1p2rpp1/p3pB2/3pP2Q/P2P4/6RP/1P3PP1/R5K1 b - -,b8d7 h5h6 d7f6 e5f6 g7g6 f6e7 f8e7 a1c1 a8b8 c1c3,251
r3kb1r/p1p3pp/2p1pn2/3pNb2/1q1P1B2/1P6/P1P2PPP/RN1Q1RK1 b kq -,b4b7 g2g4 f5g6 d1e2 e8a8 c2c3 f8d6 b1d2 d6e5 f4e5,119
r2qk2r/p1p1bppp/bpnNpn2/8/4P3/2P2NP1/PP2QP1P/R1B1KB1R b KQkq -,e7d6 e2a6 e8h8 a6e2 f6d7 f1g2 d8e8 e1h1 a8d8 c1e3,70
r2qkbnr/ppp1pppp/3p4/5b2/1n1P4/1P1BP3/PBP2PPP/RN1QK1NR b KQkq -,f5d3 c2d3 c7c6 e3e4 e7e6 b1c3 b4a6 g1f3 g8f6 e1h1,31
r2qkb1r/1b3ppp/p2p1n2/2p5/4PB2/2NQ1P2/PPP3PP/2KR1B1R b kq -,d8b6 d3e3 f8e7 e4e5 d6e5 e3e5 b7c6 a2a3 h7h5 f1c4,335
5r2/6bk/2Rp4/pQ1Pppq1/8/1P4P1/P5BP/6K1 b - -,e5e4 g1h1 g5h6 c6c7 h6h5 b5f1 h7g8 f1c1 g7b2 c1d2,-20
r4rk1/p1p3pp/2p5/3B1b2/4n3/8/PPP2qPK/RNBQR3 b - -,f5e6 d5e6 g8h8 e1e4 a8d8 d1e2 f2f6 b1c3 d8d4 e6b3,829
r4rk1/pb3pp1/4pn1p/2P1N3/8/8/P3BPPP/R2R2K1 b - -,,0
4KQ2/1p4P1/kB5Q/8/8/1R3B2/6q1/8 b - -,g2g6 f8f7 g6f7 e8d8 f7g8 d8d7 g8g7 h6g7,Mate
r4rk1/p1p3pp/8/3Q1b2/4n3/8/PPP2qPK/RNB1R3 b - -,g8h8 e1e4 f5e4 d5e4 a8e8 e4g4 e8e1 b1c3 f2g1 h2h3,-584
r3r1k1/2pb3p/p5p1/2p3q1/8/PPP1nNN1/6PP/R1Q1R1K1 b - -,g5f4 a1a2 d7c6 a2f2 e3d5 f3d2 e8e1 c1e1 f4e3 e1e3,39
rn1qkb1r/pp2nppp/2p1p3/3pPbB1/1P1P4/2P5/P4PPP/RN1QKBNR b KQkq -,h7h6 g5e3 a7a5 b4b5 c6c5 g1e2 b8d7 e2g3 h6h5 f1d3,-58
r1b2k1r/pppp4/2n2P1p/7Q/4P2p/8/PPP3PP/RN4K1 b - -,d7d5 b1c3 c8e6 e4d5 e6f7 h5h4 h6h5 h4f4 h8h7 d5c6,694
r4rk1/1p1nbppp/p3p1q1/8/PP1N4/2P1PN2/4Q1PP/R4RK1 b - -,a8c8 f1c1 e6e5 d4b3 e5e4 f3d4 d7e5 g1h1 e5d3 c1c2,-176
r1b1rnk1/ppp1qpbp/3p1np1/8/2PPp3/2N1P2P/PP1NBPPB/2RQR1K1 b - -,h7h6 b2b4 a7a5 c4c5 a5b4 c5d6 c7d6 c3b5 f6d5 d1b3,120
r3k2r/1b2bppp/pq1p1n2/2p1P3/2Q2B2/2N2P2/PPP3PP/2KR1B1R b kq -,d6e5 f4e5 e8h8 c4b3 b6b3 a2b3 f8e8 e5f4 f6h5 f4d2,229
5r2/6bk/2Rp4/p2P1pq1/4p3/1P4P1/P3Q1BP/6K1 b - -,g7d4 g1h1 d4e5 c6c4 f8h8 e2f2 h7g6 h1g1 g5h5 g2f1,-46
r2r2k1/pp1b1pp1/2n1q2p/3pP1N1/7Q/2PB4/P1P2PPP/R3K2R b KQ -,e6e5 e1d2 e5g5 h4g5 h6g5 a1e1 d8e8 d3b5 c6e5 b5d7,-510
5rk1/p2Q1pp1/2p4p/1p1p2q1/1P1P4/2P2P1P/P5P1/4R1K1 b - -,,0
r1bq1rk1/pp4bp/4ppp1/2p5/N2nP3/1P1PBN2/1PP3PP/R2Q1RK1 b - -,b7b6 b3b4 f6f5 b4c5 c8b7 f3d4 g7d4 d1e2 b7c6 c5b6,31
8/3k4/8/4K3/6Q1/8/8/7b b - -,b7b6 b3b4 f6f5 b4c5 c8b7 f3d4 g7d4 d1e2 b7c6 c5b6,Mate
5r2/7k/2Rp4/p2P1pq1/3bp3/1P4P1/P3Q1BP/7K b - -,d4e5 c6c4 f8h8 e2f2 h7g6 h1g1 g5h5 g2f1 h5d1 f2e3,-55
r1bq1rk1/pp3ppp/2nbp3/2pp4/3PN3/2PB1N2/PP2QPPP/R1B1K2R b KQ -,d5e4 e2e4 f7f5 e4e3 c5d4 c3d4 c6b4 e1h1 b4d3 e3d3,-10
r1b1rnk1/pp2qpbp/2pp1np1/8/1PPPp3/2N1P2P/P2NBPPB/2RQR1K1 b - -,h7h5 d2b3 b7b6 a2a4 e8d8 d1c2 c8f5 d4d5 c6c5 b4c5,141
r1bqk2r/ppp2pp1/2nbpn1p/3p4/3PP3/2NBBN2/PPP2PPP/R2QK2R b KQkq -,d5e4 c3e4 e8h8 d1e2 f6e4 d3e4 e6e5 e1a1 e5d4 f3d4,13
r3k2r/1b2bppp/pq3n2/2pNP3/2Q2B2/5P2/PPP3PP/2KR1B1R b kq -,b7d5 d1d5 f6d5 c4d5 e8h8 d5e4 a8b8 b2b3 b6b4 f1d3,154
r1q2rk1/ppp2ppp/2p1bn2/N3p3/1b2P3/1P1P1N2/P1PB1PPP/R2Q1RK1 b - -,b4d6 d2c3 f6d7 d3d4 e5d4 f3d4 d7c5 f2f3 f7f6 d1e1,59
rnb1k2r/ppq2pBp/2pbp3/7Q/2B5/3P1N2/PPP2PPP/R3K2R b KQkq -,b8d7 g7h8 d7f8 e1h1 b7b5 c4b3 a7a5 a2a4 c8b7 a1e1,586
2r3r1/5k2/3R1B1p/p2p4/P3p2N/2P1n1P1/5P1P/6K1 b - -,e3c4 d6a6 c8a8 a6a8 g8a8 f6d4 c4b2 h4f5 b2a4 f5h6,-385
r1bq1rk1/pppn2b1/3p4/3P1P1p/1PP1N1pP/6P1/P3B1PN/2RQ1RK1 b - -,d7f6 e4g5 c7c6 d5c6 b7c6 f1e1 f8e8 e2d3 a7a5 b4b5,184
r2q1bk1/1p1nrpB1/p3p3/3pP2Q/P2P4/6RP/1P3PP1/R5K1 b - -,f8g7 h5h6 d8f8 a1a3 f7f5 a3f3 a8c8 f3f4 f8f7 f4h4,-258
r3k2r/p1p3pp/2Nbpn2/3p1b2/1q1P1B2/1P6/P1P2PPP/RN1Q1RK1 b kq -,f5c2 d1e2 b4b7 e2e6 e8f8 f4d6 c7d6 e6d6 f8f7 c6e5,474
1r3rk1/1bpqnppp/p3p3/1p1PP3/2p3QP/P3B3/1P3PBP/3R1RK1 b - -,e7f5 e3c5 b7d5 c5f8 b8f8 g2e4 c7c6 h4h5 h7h6 f1e1,-109
