7r/3KP1k1/8/8/8/8/8/R7 b - -,g8f6 h2h4 g5g6 b1c3 g6c2 c4b3 c2g6 h4h5 g6g4 f3g4,Mate
r1b1kb1r/pppp1ppp/5n2/8/2BpP3/5P2/PPPP2PP/RNB1K2R b KQkq -,d7d6 c2c3 d4c3 b1c3 c8e6 d2d3 c7c6 c4e6 f7e6 h2h4,44
r1bqk1nr/1p2ppbp/p1Bp2p1/8/3P4/5N2/PPP2PPP/RNBQK2R b KQkq -,e8f8 c6a4 d8a5 c2c3 c8g4 a4b3 a5h5 e1h1 g4f3 d1f3,881
rnbqk1nr/pp1p1ppp/8/4N3/1b2P3/2N5/PP3PPP/R1BQKB1R b KQkq -,g8e7 d1b3 b4c3 b2c3 e8h8 f1c4 d8e8 c1a3 b8c6 f2f4,224
rn1qkb1r/ppp2ppp/4pn2/3P4/2B1P1b1/2N2N2/PP3PPP/R1BQK2R b KQkq -,a7a6 d1b3 e6d5 c3d5 b7b5 c1g5 b5c4 b3b7 f8d6 b7a8,210
2Q5/1p4q1/p4k2/6p1/P3b3/6BP/5PP1/5K2 b - -,g7e7 c8c3 f6g6 f2f3 e4c6 c3c2 g6h6 f1g1 a6a5 g1h2,180
r1bqk2r/pppp1ppp/5n2/4P3/1b2P3/2N5/PPP1BPPP/R1BQK2R b KQkq -,d7d5 e5f6 d8f6 e4d5 b4c3 b2c3 e8h8 e1h1 f8e8 a1b1,823
rnb1kbnr/ppqp1ppp/4p3/2p5/4P3/2N3P1/PPPP1PBP/R1BQK1NR b KQkq -,d7d6 g1f3 c8d7 e1h1 a7a6 f1e1 b8c6 d2d4 c6d4 f3d4,53
rn1qk1nr/ppp2ppp/3bb3/4p3/3pP3/2P2NN1/PP1P1PPP/R1BQKB1R b KQkq -,d8f6 f1b5 c7c6 b5e2 c6c5 b2b4 b8c6 b4c5 d6c5 a1b1,49
r1bqk2r/ppp2Bpp/2np1n2/2b1p3/4P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,e8f7 b2b4 c5b6 d1b3 f7f8 a2a4 a7a6 a4a5 b6a7 c1e3,-320
r1bq3r/ppp2kpp/2np1n2/2b1p1N1/4P3/2PP4/PP3PPP/RNBQK2R b KQ -,f7e8 b2b4 c5b6 a2a4 a7a5 b4b5 c6e7 b1d2 h7h6 g5f3,-684
rn1qkb1r/ppp1pppp/5n2/7b/3P4/2NB1P2/PPP1N1PP/R1BQK2R b KQkq -,c7c6 h2h4 h5g6 g2g4 e7e6 h4h5 g6d3 d1d3 h7h6 c1d2,112
r1bqkb1r/ppp3pp/2p2n2/4pp2/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,f5e4 f3g5 d8d4 c3e2 d4c5 e2g3 c8g4 g3e4 c5c4 d1e1,-89
r1bqkb1r/pppp1p1p/2n2n2/6p1/2BPPp1P/2N5/PPP3P1/R1BQK1NR b KQkq -,b7b5 c4b5 f8b4 d1d3 d8e7 e4e5 f6d5 g1e2 a7a6 b5c4,267
r1bqkbnr/pp1p1ppp/2n5/2p1p3/4P3/2P5/PPBP1PPP/RNBQK1NR b KQkq -,g8e7 d2d3 d7d5 g1e2 c8e6 f2f4 g7g6 e1h1 d5e4 d3e4,-29
r1bqk2r/pppp1ppp/5n2/2b1p3/1nP5/2NPP1P1/PP3PBP/R1BQK1NR b KQkq -,a7a5 a2a3 b4c6 g1e2 e8h8 h2h3 c5a7 e1h1 c6e7 d3d4,95
3q3k/pp2b1pp/8/2P5/1P2R1Q1/2P3B1/P4rPp/7K b - -,f2f8 c3c4 e7f6 g4h5 f6g5 g3d6 f8g8 e4e6 d8d7 h5e2,340
rnb1k2r/ppp1qppp/5n2/3p4/1bPP4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,b8c6 e1h1 c8e6 c4c5 b4c3 b2c3 e8h8 f1e1 e7d7 a1b1,104
rnbqk2r/pp2ppbp/5np1/2pP4/3P4/1QN2N2/PP2PPPP/R1B1KB1R b KQkq -,d8c7 g2g3 b8a6 f1g2 e8h8 e1h1 c8f5 c1e3 f8c8 a1d1,260
r2qkbnr/ppp2ppp/2bp4/4p3/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,f8e7 f4e5 d6e5 f3e5 c6e4 c3e4 d8d5 e1h1 d5e5 d2d3,99
rn1qkb1r/ppp1p1pp/5n2/3p1b2/3P4/2N2Q2/PPP2PPP/R1B1KBNR b KQkq -,f5g4 f3g3 b8c6 f1b5 d8d7 h2h3 g4h5 c1f4 e7e6 g1e2,43
rnbqk1nr/pp1pppbp/6p1/8/3PP3/1P6/P4PPP/RNBQKBNR b KQkq -,b8c6 c1b2 d7d5 e4e5 f7f6 g1f3 c8g4 f1e2 g4f3 e5f6,-59
7R/8/6K1/2k5/8/8/8/8 b - -,c5d4 h8h3 d4e4 g6g5 e4d4 g5f5 d4c4 f5e5 c4c5 h3h4,5541
