rnbqkbnr/pp2pppp/3p4/8/3Q4/2N1P3/PPP2PPP/R1B1KBNR b KQkq -,g8f6 e3e4 g7g6 c1e3 f8g7 f2f3 b8c6 d4d2 c8e6 e1a1,-38
r3kb1r/pp2pppp/2n2B2/q2p4/2PP2b1/2N2N2/PP3PPP/R2QKB1R b KQkq -,e8a8 f6g5 d5c4 d4d5 c6e5 f1e2 e5d3 e1f1 h7h6 g5e3,566
r1bqkb1r/pp3ppp/2nppn2/1Bp5/4P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,d8c7 e1h1 f8e7 f1e1 a7a6 b5c6 c7c6 a2a4 b7b6 c1f4,-26
r1bqkb1r/ppppn1pp/2n2p2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq -,a7a6 d4c6 e7c6 a2a3 b7b5 c4a2 c6e5 c1f4 d7d6 e1h1,286
r1bqkbnr/pp2pppp/2n5/3p4/2P5/1P3N2/P2P1PPP/RNBQKB1R b KQkq -,d5d4 d2d3 e7e5 g2g3 f7f5 f1g2 f8b4 f3d2 a7a5 d1h5,-98
r1bqkbnr/pp3ppp/2p5/3p4/3PP3/8/PP1PBPPP/RNBQK2R b KQkq -,d5e4 d2d3 d8d4 d3e4 d4e4 e1h1 g8f6 b1c3 e4f5 e2d3,-60
rn1qk2r/pbpp1ppp/1p2pn2/3P4/1bP1P3/5P2/PP1B2PP/RN1QKBNR b KQkq -,b8a6 d2b4 a6b4 d1d2 a7a5 b1c3 d7d6 e1a1 e6e5 c1b1,76
rnbqkb1r/ppp2ppp/4pn2/8/8/1PN5/PBPPQPPP/R3KBNR b KQkq -,b8c6 e1a1 f8d6 g2g4 c6d4 e2d3 c7c5 g1e2 e6e5 h2h3,58
r1bqkbnr/1ppp1ppp/p7/8/4P3/2N5/PP1PBPPP/R1BQK2R b KQkq -,g8e7 d2d4 d7d5 f2f3 d5e4 f3e4 e7g6 c1e3 f8e7 e1h1,106
rn1qk2r/ppp1ppbp/3p1np1/8/3P1Bb1/2P1PN1P/PP3PP1/RN1QKB1R b KQkq -,g4f5 f1c4 e8h8 b1d2 f6e4 e1h1 e4d2 d1d2 b8d7 f1e1,76
r1bqk2r/ppp1bppp/2np1n2/3Pp3/4P3/2P2N1P/PP3PP1/RNBQKB1R b KQkq -,c8d7 d5c6 d7c6 b1d2 f6e4 d2e4 c6e4 f1d3 e4d3 d1d3,367
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/3P3P/PPP2PP1/RNBQKBNR b KQkq -,d7d5 e4d5 d8d5 b1c3 d5d8 g2g3 b8c6 g1f3 f8d6 f1g2,-13
rnbqk2r/p2p1ppp/1p2pn2/2pP4/2P5/P1P2N2/4PPPP/R1BQKB1R b KQkq -,c8b7 e2e3 e8h8 c1b2 d7d6 f1d3 e6d5 c4d5 f6d5 c3c4,-112
