rn1q1rk1/pp2ppbp/2p2np1/3bN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,d8c8 c3d5 c6d5 c1f4 c8d8 a1c1 e7e6 d1b3 b8d7 b3b7,105
8/1K1k4/8/P5B1/8/8/2p5/8 b - -,b8d7 e2e4 d5e6 e5f3 e6g4 h2h3 g4f3 d1f3 e7e5 d4d5,Mate
8/1p6/6r1/p2k1p2/P2Pp3/1P1n2P1/4KPBr/5RR1 b - -,d5d4 e2d2 g6c6 g3g4 f5f4 g2e4 d4e4 g1h1 h2f2 f1f2,-631
8/3k4/1Q2B3/5K2/8/8/8/8 b - -,d5d4 e2d2 g6c6 g3g4 f5f4 g2e4 d4e4 g1h1 h2f2 f1f2,Mate
r1q2rk1/3b1ppp/p3p3/2bpPP2/3B4/1RN5/P1PQ1RPP/6K1 b - -,g8h8 f5f6 f8g8 c3e2 d7b5 b3c3 b5c4 d2g5 a8b8 h2h3,98
1r6/3rbkp1/1p3p2/pP1p1RPP/N2P1N2/2PK4/8/8 b - -,d7d6 g5g6 f7g8 f4d5 d6e6 f5f1 e7d8 c3c4 e6e8 a4c3,264
r1bq1rk1/pp3pb1/3p1npp/8/1n1P3B/1Q1B1N2/PP1N1PPP/R4RK1 b - -,b4d5 d3g6 f7g6 h4f6 d8f6 b3d5 f6e6 d5b5 a7a6 b5d3,67
R4K2/5P2/5k2/8/8/8/5r2/8 b - -,f6g6 a8a6 g6h7 a6a3 f2h2 a3e3 h7g6 f8e7 h2h7 e7e6,6568
3n4/8/1p2p3/4P1p1/k2KN3/8/8/8 b - -,d8f7 d4e3 a4b4 e4f6 f7e5 e3d4 e5f7 f6e8 g5g4 e8c7,-679
rnbqk2r/ppp1npbp/3p2p1/8/3PP3/3B1N1P/PP3PP1/RNBQK2R b KQkq -,d6d5 e4e5 c7c5 d4c5 e8h8 e1h1 b8d7 b1c3 d7c5 f1e1,82
3n4/8/1p2p3/4P3/k3N1p1/4K3/8/8 b - -,b6b5 e3f4 b5b4 f4g4 b4b3 g4f3 a4b4 f3e3 b3b2 e4d2,-795
2rqbk1r/1p5p/p3p1n1/3pPp2/1P3b2/P2B3P/1Q3PP1/1R2RNK1 b - -,h8g8 b4b5 a6a5 g1h1 d8c7 g2g3 f4e5 b2a2 c7d6 b1c1,-559
r4rk1/p4ppp/2p1b3/bp6/4PBq1/3RN1P1/PPQ2P1P/R5K1 b - -,g4g6 c2c6 a8c8 c6b5 g6e4 f2f3 e4g6 e3d5 a5b6 d5b6,21
rnbqkbnr/4pppp/pp1p4/2p5/P1B1PP2/2N5/1PPP2PP/R1BQK1NR b KQkq -,b8c6 g1f3 e7e6 d2d4 c5d4 f3d4 d8c7 f4f5 c6d4 d1d4,63
r1bqr1k1/p1p2pb1/2p2npp/3P4/4P3/2N1BP2/PP2B1PP/R2Q1RK1 b - -,c6d5 e3d4 c7c6 e4d5 f6d5 d4g7 g8g7 d1d4 g7g8 c3d5,7
3n4/8/4p3/1p2P3/k3NKp1/8/8/8 b - -,b5b4 f4g4 b4b3 g4g5 a4b4 g5f6 b3b2 e4d2 b4c3 d2b1,-3407
