FEN Position,Line of Moves,Evaluation Score
r1b1k1nr/ppqpppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,d1d2 g8f6 b1c3 e8h8 f1e2 d7d6 e1h1 a7a5 b3d4 c6d4,88
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,c2c4 d7d6 d2d4 c5d4 f3d4 b8c6 b1c3 g8f6 f1e2 c6d4,73
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,f8d6 d5e6 c8e6 g1f3 e8h8 e1h1 b8d7 h2h3 h7h6 f1e1,200
r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,a7a6 b1c3 g8e7 h2h4 c8d7 f1d3 d8b6 d3c2 c6a5 e1h1,78
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 a1b1 e8h8,50
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,d8g5 f3g5 g8h6 b1c3 f8e7 c3d5 e7d8 g5f3 e8h8 e1h1,1282
rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,f6g8 e2e4 d7d6 f1e2 f8g7 c1e3 g8f6 h2h3 e8h8 g1f3,183
1r2k2r/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK b k -,c7c6 d5e4 d7d5 e4d5 c6d5 b3a4 e8d8 a4g4 h3g4 g1g4,-332
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,g7g6 d4e5 f6e4 g1f3 e4c5 d1e2 b8c6 b1c3 h7h6 c1e3,290
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 w - -,a1c1 d7e6 d1d2 f6g4 e2g4 e6g4 e3h6 d8a5 h6g7 g8g7,105
